month,estimated_relative_time_fe,oracle_time_shock,estimated_centered_time_fe,oracle_centered_time_shock
1,0.0,0.0,-0.9794624923205887,-1.0
2,4.135029842273642,4.0,3.1555673499530537,3.0
3,-1.8176416493925676,-2.0,-2.7971041417131564,-3.0
4,4.842421169382071,5.0,3.8629586770614823,4.0
5,1.0023018593998831,1.0,0.02283936707929446,0.0
6,-3.2348969480786653,-3.0,-4.214359440399254,-4.0
7,6.2953012649863185,6.0,5.31583877266573,5.0
8,1.735099370870266,2.0,0.7556368785496773,1.0
9,-1.2210184342740478,-1.0,-2.2004809265946363,-2.0
10,4.018285473296763,4.0,3.0388229809761746,3.0
11,0.10576259559606038,0.0,-0.8736998967245283,-1.0
12,-4.107094636212658,-4.0,-5.086557128533246,-5.0
