store_id,week,treated,post,did,sales_thousand_eur,oracle_location_quality,oracle_week_shock
1,1,1,0,0,90.52190601832748,1.7356146609913912,0.0
1,2,1,0,0,94.77531859677676,1.7356146609913912,2.5
1,3,1,0,0,90.90006162673247,1.7356146609913912,-1.0
1,4,1,0,0,93.53068124939833,1.7356146609913912,3.0
1,5,1,0,0,84.87162922525104,1.7356146609913912,-2.0
1,6,1,1,1,98.85221314333144,1.7356146609913912,5.0
1,7,1,1,1,93.32055415134381,1.7356146609913912,1.5
1,8,1,1,1,97.37294403869953,1.7356146609913912,4.0
1,9,1,1,1,92.31364507497834,1.7356146609913912,-1.5
1,10,1,1,1,95.64064116247181,1.7356146609913912,3.5
2,1,0,0,0,58.490444659428555,-1.850707923479733,0.0
2,2,0,0,0,62.99545542029757,-1.850707923479733,2.5
2,3,0,0,0,57.76779904522486,-1.850707923479733,-1.0
2,4,0,0,0,60.46747036842198,-1.850707923479733,3.0
2,5,0,0,0,54.57089174728414,-1.850707923479733,-2.0
2,6,0,1,0,61.16572292385328,-1.850707923479733,5.0
2,7,0,1,0,59.25757220717643,-1.850707923479733,1.5
2,8,0,1,0,63.056738677469994,-1.850707923479733,4.0
2,9,0,1,0,56.35001405512534,-1.850707923479733,-1.5
2,10,0,1,0,60.619505548224495,-1.850707923479733,3.5
3,1,0,0,0,72.5866264883263,-0.7016130337949886,0.0
3,2,0,0,0,68.60751516951112,-0.7016130337949886,2.5
3,3,0,0,0,68.61263928777714,-0.7016130337949886,-1.0
3,4,0,0,0,72.939445461111,-0.7016130337949886,3.0
3,5,0,0,0,65.35917453411238,-0.7016130337949886,-2.0
3,6,0,1,0,75.94133810821728,-0.7016130337949886,5.0
3,7,0,1,0,68.33834486089135,-0.7016130337949886,1.5
3,8,0,1,0,74.683398665484,-0.7016130337949886,4.0
3,9,0,1,0,68.640280001203,-0.7016130337949886,-1.5
3,10,0,1,0,72.46737805203095,-0.7016130337949886,3.5
4,1,0,0,0,73.20067031968541,-0.22425255798633742,0.0
4,2,0,0,0,75.23301382557953,-0.22425255798633742,2.5
4,3,0,0,0,74.19087750413276,-0.22425255798633742,-1.0
4,4,0,0,0,75.51363521413369,-0.22425255798633742,3.0
4,5,0,0,0,75.38277348853832,-0.22425255798633742,-2.0
4,6,0,1,0,80.10856311531919,-0.22425255798633742,5.0
4,7,0,1,0,76.28615600227229,-0.22425255798633742,1.5
4,8,0,1,0,77.97027876233136,-0.22425255798633742,4.0
4,9,0,1,0,73.59614301076073,-0.22425255798633742,-1.5
4,10,0,1,0,76.81385847592466,-0.22425255798633742,3.5
5,1,1,0,0,75.28299448930436,-0.0758547941375477,0.0
5,2,1,0,0,80.81756134176997,-0.0758547941375477,2.5
5,3,1,0,0,72.83189427967417,-0.0758547941375477,-1.0
5,4,1,0,0,76.3911734921697,-0.0758547941375477,3.0
5,5,1,0,0,74.40767226531138,-0.0758547941375477,-2.0
5,6,1,1,1,85.03277754159315,-0.0758547941375477,5.0
5,7,1,1,1,80.24412967891327,-0.0758547941375477,1.5
5,8,1,1,1,82.570754733205,-0.0758547941375477,4.0
5,9,1,1,1,76.10957065986982,-0.0758547941375477,-1.5
5,10,1,1,1,83.18133677476081,-0.0758547941375477,3.5
6,1,1,0,0,79.88813871617542,0.758103055259488,0.0
6,2,1,0,0,82.59668404640504,0.758103055259488,2.5
6,3,1,0,0,81.6723237932072,0.758103055259488,-1.0
6,4,1,0,0,82.36140911483945,0.758103055259488,3.0
6,5,1,0,0,80.41375647419508,0.758103055259488,-2.0
6,6,1,1,1,89.5418854423094,0.758103055259488,5.0
6,7,1,1,1,86.34615490121253,0.758103055259488,1.5
6,8,1,1,1,88.06854962318283,0.758103055259488,4.0
6,9,1,1,1,81.38691832046466,0.758103055259488,-1.5
6,10,1,1,1,84.84936168902426,0.758103055259488,3.5
7,1,1,0,0,76.85272296683381,0.07734023460974272,0.0
7,2,1,0,0,77.94458838483716,0.07734023460974272,2.5
7,3,1,0,0,78.30308413552055,0.07734023460974272,-1.0
7,4,1,0,0,80.58677890474209,0.07734023460974272,3.0
7,5,1,0,0,73.0932133775885,0.07734023460974272,-2.0
7,6,1,1,1,85.70202921228251,0.07734023460974272,5.0
7,7,1,1,1,83.93089283158741,0.07734023460974272,1.5
7,8,1,1,1,85.20541282430877,0.07734023460974272,4.0
7,9,1,1,1,80.27162464305876,0.07734023460974272,-1.5
7,10,1,1,1,81.49330114602893,0.07734023460974272,3.5
8,1,1,0,0,72.3962327093092,0.014651559765823273,0.0
8,2,1,0,0,78.26594247625515,0.014651559765823273,2.5
8,3,1,0,0,74.62812121208593,0.014651559765823273,-1.0
8,4,1,0,0,76.14017985608122,0.014651559765823273,3.0
8,5,1,0,0,72.46792547795248,0.014651559765823273,-2.0
8,6,1,1,1,82.85944102441825,0.014651559765823273,5.0
8,7,1,1,1,80.8078029990907,0.014651559765823273,1.5
8,8,1,1,1,82.72013453989054,0.014651559765823273,4.0
8,9,1,1,1,74.38963710048834,0.014651559765823273,-1.5
8,10,1,1,1,80.62284170089514,0.014651559765823273,3.5
9,1,0,0,0,71.19355668089568,-0.6368745725238322,0.0
9,2,0,0,0,74.61463326157161,-0.6368745725238322,2.5
9,3,0,0,0,69.64397788298368,-0.6368745725238322,-1.0
9,4,0,0,0,71.71160968251716,-0.6368745725238322,3.0
9,5,0,0,0,70.12270999025993,-0.6368745725238322,-2.0
9,6,0,1,0,76.19326550004517,-0.6368745725238322,5.0
9,7,0,1,0,73.05975017278178,-0.6368745725238322,1.5
9,8,0,1,0,72.70569466616074,-0.6368745725238322,4.0
9,9,0,1,0,70.16858045564793,-0.6368745725238322,-1.5
9,10,0,1,0,72.3086136080768,-0.6368745725238322,3.5
10,1,1,0,0,80.176590901724,0.9071291507007297,0.0
10,2,1,0,0,85.40825488782748,0.9071291507007297,2.5
10,3,1,0,0,80.19891027480512,0.9071291507007297,-1.0
10,4,1,0,0,83.86800638620132,0.9071291507007297,3.0
10,5,1,0,0,77.74789367250254,0.9071291507007297,-2.0
10,6,1,1,1,87.79078472924589,0.9071291507007297,5.0
10,7,1,1,1,85.67585411332635,0.9071291507007297,1.5
10,8,1,1,1,85.02911668520086,0.9071291507007297,4.0
10,9,1,1,1,86.00812798227632,0.9071291507007297,-1.5
10,10,1,1,1,85.04947820991377,0.9071291507007297,3.5
11,1,0,0,0,59.465406672005734,-2.328093351912611,0.0
11,2,0,0,0,59.953923532067364,-2.328093351912611,2.5
11,3,0,0,0,56.38435886131735,-2.328093351912611,-1.0
11,4,0,0,0,59.77574552812663,-2.328093351912611,3.0
11,5,0,0,0,60.62541727598585,-2.328093351912611,-2.0
11,6,0,1,0,65.32162970506012,-2.328093351912611,5.0
11,7,0,1,0,57.32512850557844,-2.328093351912611,1.5
11,8,0,1,0,63.907752373497786,-2.328093351912611,4.0
11,9,0,1,0,54.251958239576894,-2.328093351912611,-1.5
11,10,0,1,0,61.88185804677239,-2.328093351912611,3.5
12,1,1,0,0,80.47118965524302,0.3679627821546728,0.0
12,2,1,0,0,81.72420979092146,0.3679627821546728,2.5
12,3,1,0,0,78.81183006287624,0.3679627821546728,-1.0
12,4,1,0,0,81.83822082359106,0.3679627821546728,3.0
