applicant_id,predicted_probability,preparation_marginal_effect,mentor_discrete_effect
1,0.6503963692541838,0.01879794210023311,0.19649203766622653
2,0.6525566650897361,0.018743836178462477,0.1962929216564543
3,0.871756322498942,0.009242454776511855,0.11946168218984721
4,0.023993306636891348,0.00193597241772357,0.028160015627352413
5,0.014838264829898569,0.0012085007328493786,0.017774129166200837
6,0.7976954594793906,0.013341326580290648,0.100528286154966
7,0.7918285894647084,0.013627259564962996,0.10305947267453908
8,0.38353414415030046,0.019546514480319445,0.19849659806506942
9,0.04049543455120414,0.003212250270088997,0.045815174079373654
10,0.8371130950457248,0.011272664252541979,0.14050166270115805
11,0.4176241177788139,0.020106904614771482,0.198506201068696
12,0.4165846894250261,0.020092657980332655,0.1747228881722041
13,0.3194907814033213,0.0179741602534919,0.19290086136903217
14,0.0720717536310842,0.0055288619908793754,0.07602558316932881
15,0.025989675243954367,0.0020927660359477086,0.030367781104071054
16,0.3458264554056882,0.018702835553877847,0.1961381098120652
17,0.5637672369336689,0.020331732095977738,0.17933494988431453
18,0.5313664803349359,0.020586559355377454,0.19511829519552115
19,0.16327845936960925,0.011294476565542375,0.08308518498563344
20,0.39815901957977223,0.019810460900707177,0.17001686188575613
21,0.036116158407046836,0.0028779451606788554,0.04126015400555262
22,0.18986180674092265,0.012716072095538758,0.15420599393967663
23,0.07317070302427753,0.00560651832779954,0.03910036831610972
24,0.06453031647118719,0.004990565703209813,0.06921704585703405
25,0.6723430752617217,0.018212373664975193,0.14885582177755985
26,0.2552872896360003,0.01571716541130059,0.17886752958759294
27,0.6291870882044862,0.01928816510034717,0.16238383660745925
28,0.04305498364527742,0.0034061728170687164,0.048434845331665755
29,0.21502909594151243,0.013954267803008477,0.1059869808759185
30,0.8566556034788301,0.010151804500913008,0.073784891076772
31,0.8663812215621263,0.009570459565584189,0.12299481591505457
32,0.12295177603229976,0.008914860363014645,0.06401025146805933
33,0.8136293626800082,0.012536039985297594,0.09353198331244439
34,0.5523511504522968,0.020441323000398297,0.1818151312381412
35,0.2163149940647217,0.014014720041171578,0.10653215225817234
36,0.2552820668614386,0.015716954087358986,0.12247063443976239
37,0.8888660299225823,0.008166564624827077,0.05822888161147166
38,0.027022407596614756,0.002173617611120637,0.03150197709622096
39,0.3326344003152022,0.018352162356646735,0.19468726771629596
40,0.3695006316648219,0.019259992163696428,0.1979187492969781
41,0.7234450116517944,0.016540296406814314,0.13067713196429986
42,0.8424053385289875,0.010975362599171192,0.13754618270182872
43,0.7215998345317142,0.01660818520209456,0.1849851091181639
44,0.30478760754366113,0.017517457601353578,0.14099723055819358
45,0.6924334193272886,0.017606516169551712,0.19097571590713858
46,0.4384249904811452,0.020354448487419945,0.17982277840125988
47,0.04760047918113682,0.0037478893275715098,0.053010696035137646
48,0.5410638295816819,0.02052849232109249,0.1960576682867149
49,0.08151282558472368,0.006189496323412743,0.0842060086124357
