person_id,period,training_hours,productivity_score,oracle_ability,university_degree,oracle_person_intercept
1,1,3.4106470548826495,37.36330503629658,-1.790354833532509,0,37.467516165272436
1,2,3.1457663610698696,47.473245086565136,-1.790354833532509,0,37.467516165272436
1,3,0.1282814449545313,37.681606261792986,-1.790354833532509,0,37.467516165272436
1,4,3.0759810230293936,47.37510341552066,-1.790354833532509,0,37.467516165272436
1,5,7.005690741674657,48.26535669863681,-1.790354833532509,0,37.467516165272436
1,6,4.264139593978552,45.44506243273288,-1.790354833532509,0,37.467516165272436
2,1,5.069870536804536,58.997137862535766,0.010027748183977375,0,50.07019423728784
2,2,7.683321883233807,64.77699648847225,0.010027748183977375,0,50.07019423728784
2,3,6.09810392516507,60.63156553552545,0.010027748183977375,0,50.07019423728784
2,4,6.192664205467299,60.542118130511334,0.010027748183977375,0,50.07019423728784
2,5,7.088293956058205,64.22855798678191,0.010027748183977375,0,50.07019423728784
2,6,7.27020356163225,55.240121491703256,0.010027748183977375,0,50.07019423728784
3,1,6.8321575214099255,62.82012897207161,0.4468513156580284,1,53.127959209606196
3,2,5.168056314026648,63.10108160095099,0.4468513156580284,1,53.127959209606196
3,3,4.104101561614649,58.19950067147505,0.4468513156580284,1,53.127959209606196
3,4,3.1203394504213113,60.793436426553214,0.4468513156580284,1,53.127959209606196
3,5,8.287745734926535,69.5310154529076,0.4468513156580284,1,53.127959209606196
3,6,4.982945117018703,61.856563892425115,0.4468513156580284,1,53.127959209606196
4,1,5.815962801133511,73.63948879556304,0.6460797038332384,0,54.52255792683267
4,2,5.482427701451862,61.52780166360644,0.6460797038332384,0,54.52255792683267
4,3,6.949544161359947,67.2616494843085,0.6460797038332384,0,54.52255792683267
4,4,7.151505175044832,66.35143626663213,0.6460797038332384,0,54.52255792683267
4,5,7.8459648692259805,69.15207689323385,0.6460797038332384,0,54.52255792683267
4,6,6.290501078008784,62.624122078828485,0.6460797038332384,0,54.52255792683267
5,1,6.207123133700127,71.27134977365381,0.49357921831590296,0,53.45505452821132
5,2,5.539547972252935,61.34572364137161,0.49357921831590296,0,53.45505452821132
5,3,7.111820755863109,67.5509541848999,0.49357921831590296,0,53.45505452821132
5,4,7.260395297968688,69.424624062072,0.49357921831590296,0,53.45505452821132
5,5,7.978090608873643,66.63105459826846,0.49357921831590296,0,53.45505452821132
5,6,10.08823808408083,74.40520693763285,0.49357921831590296,0,53.45505452821132
6,1,2.634736599364053,41.1213169257946,-1.147145353880152,0,41.96998252283893
6,2,2.9484581368662237,49.04893359883548,-1.147145353880152,0,41.96998252283893
6,3,4.83107616330417,51.964404608605065,-1.147145353880152,0,41.96998252283893
6,4,6.006253958059169,51.16734687867523,-1.147145353880152,0,41.96998252283893
6,5,3.434242345549683,42.5421924781877,-1.147145353880152,0,41.96998252283893
6,6,4.025574846733561,50.415127250296784,-1.147145353880152,0,41.96998252283893
7,1,6.922741070884899,79.63545150856002,1.5919832017092899,1,61.14388241196503
7,2,8.936038550482191,81.19752595076176,1.5919832017092899,1,61.14388241196503
7,3,6.450539037440729,75.68851053677436,1.5919832017092899,1,61.14388241196503
7,4,8.03470902745744,79.67486454026871,1.5919832017092899,1,61.14388241196503
7,5,10.141931940573222,75.07904453005892,1.5919832017092899,1,61.14388241196503
7,6,10.57068548377065,83.23446841283243,1.5919832017092899,1,61.14388241196503
8,1,5.971730913451566,50.58067680219496,-0.6581857756393987,1,45.39269957052421
8,2,3.4067098510869878,48.80570099425854,-0.6581857756393987,1,45.39269957052421
8,3,6.991821679850516,57.369491185444126,-0.6581857756393987,1,45.39269957052421
8,4,4.209222749163226,55.61018809807098,-0.6581857756393987,1,45.39269957052421
