firm_id,quarter,investment_million_eur,employees,productivity_index
1,1,2.6971384965138263,87.55256876094798,65.76478233522873
1,2,1.6236808046874762,84.70664692008225,60.851327523598485
1,3,1.476274831283805,89.81836370442772,62.02571011135186
1,4,3.459730505628604,93.3744436338773,63.18735134398299
1,5,2.842640969204607,84.99677173093768,67.01477249001441
1,7,2.8918726219045183,81.44027979521024,67.34095918546535
1,8,2.9855386386551883,109.98559892703535,65.77498871600477
2,1,4.041331918758978,161.58802704678502,76.49500092377727
2,2,3.57152004622448,172.32677166852804,75.48269534433159
2,3,4.529630080833441,173.28704766149852,78.31748882639872
2,4,4.061027400035354,167.19125441005284,76.33256671977843
2,5,5.801310711258765,174.35803872209195,83.213442334802
2,7,4.579938980962794,180.35741593718583,87.47394579669358
2,8,5.0970741784180165,178.12715277776735,76.51626439138303
3,1,2.442149522785518,73.69141219619831,78.12985511843884
3,3,3.505274818049479,102.02691726901149,84.42949346243495
3,4,2.5212238437170416,77.85089197911232,77.30419080407717
3,5,2.590012770069599,91.5845463912684,77.96378613095635
3,6,3.469830716158832,99.99365656221268,82.09158574635622
3,7,3.84282452796794,100.2006837631435,87.352183371047
3,8,3.9974194348509777,106.07031824102317,85.9926907871134
4,1,2.4203504072334656,110.38102479319377,82.99367370952126
4,2,2.998733001107144,116.37976366877965,78.01951478722964
4,3,3.0466498781614613,118.92443995764879,82.29004190760755
4,4,2.2676947621431327,127.70090232523552,83.68119977031444
4,5,2.108759033646079,128.99238958366738,79.2775540335086
4,6,4.6905342094551195,149.8718987858343,83.76595168431864
4,7,4.101688108158089,134.12133016125975,84.34344186628464
4,8,4.076605259496009,148.02673036958328,85.96593014268957
5,2,3.883746251106557,194.00341139451078,82.15173395782091
5,3,4.546802943517426,173.3986641304554,84.69550420713111
5,4,3.797577831215594,188.22175061453805,82.3719334284522
5,5,3.332975446276791,190.60003054756424,73.94957598855095
5,6,5.028493827667817,206.16283301968025,86.2857189886406
5,7,3.697397223978817,199.74321871035914,82.39132863255796
5,8,6.648360151768094,197.22433143728043,86.4744154752155
6,1,4.476395045154307,225.96540972586385,72.20391093587891
6,2,4.270112562101353,231.59105805185396,72.23771523289675
6,3,4.0718735034787255,222.47683862769713,72.51674067167622
6,4,6.10757347811405,228.3172510961467,74.32745964855724
6,5,5.264283682268022,237.19903310667993,76.31294791692959
6,6,5.659050356661009,242.3660661625507,75.28807878221
6,8,4.260640461977674,235.4368200429339,76.30490336225378
7,1,3.2504912400283903,109.91391658393539,89.35762084264552
7,2,2.7341728569261585,102.2330699796751,80.66533069560226
7,3,2.7727405817430864,114.08677375312125,84.85132780416164
7,4,4.563078444460633,120.44459127743102,93.16724682279526
7,5,2.7428326881840617,122.4514545624437,86.57313921698227
7,6,4.470652586436256,127.4496963636655,86.89594640160851
7,7,4.727905911349021,127.14789861424765,95.08325342071267
7,8,2.844723728151786,115.64977909967651,86.34176508530989
