student_id,group,score
1,A_alt,57.15355301355002
2,A_alt,59.07849192204886
3,A_alt,81.63774470528217
4,A_alt,73.56862256620961
5,A_alt,89.13907071643072
6,A_alt,79.88909017263813
7,A_alt,51.07070726000027
8,A_alt,63.81582352734848
9,A_alt,40.43157458334207
10,A_alt,83.28226774774097
11,A_alt,58.33697848756612
12,A_alt,66.27794559319416
13,A_alt,81.52582862788265
14,A_alt,65.71873254216557
15,A_alt,64.82898861134053
16,A_alt,48.82595985796142
17,A_alt,45.71873338035486
18,A_alt,81.57750340106843
19,A_alt,66.10681052132584
20,A_alt,76.2410234297978
21,A_alt,57.012255897581
22,A_alt,89.30100432484004
23,A_alt,81.01115680997691
24,A_alt,58.615447190346885
25,A_alt,76.19029628302721
26,A_alt,57.75260247071388
27,A_alt,79.98068305052377
28,A_alt,70.91582108427629
29,A_alt,47.59603283183128
30,A_alt,60.838609731590935
31,A_alt,58.74742165015288
32,A_alt,70.26482672647523
33,A_alt,56.39554736476145
34,A_alt,72.11908990437513
35,A_alt,78.50250688109504
36,A_alt,59.84827333863673
37,A_alt,69.53704780876765
38,A_alt,89.28588296169947
39,A_alt,82.63801513321665
40,A_alt,67.08554146362133
41,A_alt,82.07700289169927
42,A_alt,83.30811146997921
43,A_alt,80.27153834574115
44,A_alt,86.94726367737383
45,A_alt,87.52723228918852
46,A_alt,64.4284832385922
47,A_alt,80.88356917185942
48,A_alt,52.584091322039406
49,A_alt,69.22683122381481
50,A_alt,72.70058927566664
51,A_alt,59.214837531612154
52,A_alt,62.60376879469211
53,A_alt,57.878886543239204
54,A_alt,76.89817177212902
55,A_alt,79.59053495567014
56,A_alt,65.25852905986376
57,A_alt,79.1753225264198
58,A_alt,85.47823413215482
59,A_alt,66.32811341456436
60,A_alt,81.36120477746687
61,A_alt,64.80504381676194
62,A_alt,62.15283953302571
63,A_alt,77.56628630576265
64,A_alt,74.00592133297629
65,A_alt,73.36815815906867
66,A_alt,66.91018213834845
67,A_alt,54.951803598098735
68,A_alt,72.00877691182531
69,A_alt,77.53817046111902
70,A_alt,79.6038370365392
71,A_alt,84.32514558139515
72,A_alt,71.41317166991652
73,A_alt,82.89517568978052
74,A_alt,92.29604732751184
75,A_alt,53.02609080102695
76,A_alt,66.67262303069724
77,A_alt,56.03004287400149
78,A_alt,61.53060776024384
79,A_alt,78.76735456260786
80,A_alt,74.78075746017763
81,A_alt,71.03561630493466
82,A_alt,71.3078878570919
83,A_alt,56.923600031888924
84,A_alt,86.43650024242265
85,A_alt,57.630918725968804
86,A_alt,54.0695733476484
87,A_alt,77.03437012888301
88,A_alt,83.5981560157625
89,A_alt,76.88552345067806
90,A_alt,83.07344889488083
91,A_alt,93.33404921235649
92,A_alt,72.92273124048106
93,A_alt,79.82690584792887
94,A_alt,75.20757884922297
95,A_alt,54.26359830106105
96,A_alt,68.89000654653917
97,A_alt,77.5477072796978
98,A_alt,75.76177371986635
99,A_alt,54.171266640914894
100,A_alt,75.3063467128492
101,A_alt,81.19272345539285
102,A_alt,69.75813540684102
103,A_alt,72.76834808682676
104,A_alt,74.87417581955272
105,A_alt,73.86658904183582
106,A_alt,59.220696443137925
107,A_alt,49.416858891506074
108,A_alt,78.16563452873714
109,A_alt,89.91979147164658
110,A_alt,67.90859076859981
111,B_neu,75.970757024028
112,B_neu,98.57889813602914
113,B_neu,82.83010519245305
114,B_neu,85.88687052327546
115,B_neu,93.51351282476207
116,B_neu,59.638921006962015
117,B_neu,84.45231796178388
118,B_neu,76.8855547264396
119,B_neu,68.76551998451532
120,B_neu,72.00009929107989
121,B_neu,62.770359188459956
122,B_neu,60.90861508950433
123,B_neu,58.25423686293387
124,B_neu,74.08458111735685
125,B_neu,57.93441460418843
126,B_neu,86.87117498580899
127,B_neu,90.63619319362353
128,B_neu,89.35436920675805
129,B_neu,64.2767690243974
130,B_neu,82.09949033133714
131,B_neu,77.61049406890848
132,B_neu,76.18103771134774
133,B_neu,84.32075546985992
134,B_neu,48.42458216585657
135,B_neu,66.86573602637586
136,B_neu,45.665898165884435
137,B_neu,65.13846872715447
