index,timestamp,value,rolling_mean,rolling_std,z_score,is_anomaly,injected_anomaly
120,2026-01-01T02:00:00Z,99.98393776,100.19950882,0.88951317,-0.24234723,False,False
121,2026-01-01T02:01:00Z,100.88387767,100.19170429,0.88725890,0.78012560,False,False
122,2026-01-01T02:02:00Z,100.21426859,100.18962445,0.88533932,0.02783582,False,False
123,2026-01-01T02:03:00Z,102.59747734,100.19426365,0.88399671,2.71857763,False,False
124,2026-01-01T02:04:00Z,99.41699305,100.21569594,0.91042980,-0.87728113,False,False
125,2026-01-01T02:05:00Z,100.32901117,100.21613629,0.91003052,0.12403417,False,False
126,2026-01-01T02:06:00Z,100.00588043,100.21949134,0.90969826,-0.23481513,False,False
127,2026-01-01T02:07:00Z,101.34790611,100.21703903,0.90987413,1.24288299,False,False
128,2026-01-01T02:08:00Z,100.61914408,100.22060477,0.91345347,0.43629952,False,False
129,2026-01-01T02:09:00Z,101.48757350,100.23009102,0.91163033,1.37937762,False,False
130,2026-01-01T02:10:00Z,100.25296757,100.24372743,0.91807669,0.01006468,False,False
131,2026-01-01T02:11:00Z,99.65778888,100.23891727,0.91650220,-0.63407201,False,False
132,2026-01-01T02:12:00Z,101.07250679,100.23724126,0.91737906,0.91049117,False,False
133,2026-01-01T02:13:00Z,101.61235474,100.25113103,0.91730237,1.48394223,False,False
134,2026-01-01T02:14:00Z,100.79527688,100.26507298,0.92513789,0.57310797,False,False
135,2026-01-01T02:15:00Z,101.14890510,100.27789427,0.92172950,0.94497446,False,False
136,2026-01-01T02:16:00Z,100.17401126,100.28230407,0.92461572,-0.11712197,False,False
137,2026-01-01T02:17:00Z,100.72617392,100.28386287,0.92427410,0.47854965,False,False
138,2026-01-01T02:18:00Z,98.73813575,100.27799315,0.91919598,-1.67522208,False,False
139,2026-01-01T02:19:00Z,100.32359263,100.26906901,0.92885337,0.05869992,False,False
140,2026-01-01T02:20:00Z,101.08337917,100.26717177,0.92850749,0.87905311,False,False
141,2026-01-01T02:21:00Z,100.71632070,100.28068246,0.92849018,0.46918992,False,False
142,2026-01-01T02:22:00Z,100.43053932,100.29398095,0.92319113,0.14791994,False,False
143,2026-01-01T02:23:00Z,101.70867218,100.29054178,0.92190640,1.53825855,False,False
144,2026-01-01T02:24:00Z,101.55303462,100.29867934,0.93004249,1.34870749,False,False
145,2026-01-01T02:25:00Z,99.75998728,100.31054839,0.93686138,-0.58766550,False,False
146,2026-01-01T02:26:00Z,99.12258107,100.30970600,0.93731050,-1.26652260,False,False
147,2026-01-01T02:27:00Z,101.10524714,100.31217756,0.93377927,0.84931162,False,False
148,2026-01-01T02:28:00Z,99.80244984,100.32347206,0.93510583,-0.55717995,False,False
149,2026-01-01T02:29:00Z,99.52498886,100.31875254,0.93629361,-0.84777218,False,False
150,2026-01-01T02:30:00Z,102.08785415,100.31881873,0.93623721,1.88951624,False,False
151,2026-01-01T02:31:00Z,99.61654715,100.33349854,0.94994906,-0.75472614,False,False
152,2026-01-01T02:32:00Z,101.73165911,100.33126888,0.95131424,1.47205852,False,False
153,2026-01-01T02:33:00Z,100.00816854,100.35462454,0.95100418,-0.36430545,False,False
