household_id,month,treated,post,electricity_mwh,oracle_building_efficiency,did
1,1,1,0,28.797469689803965,-2.096448201956982,0
1,2,1,0,26.141480807146017,-2.096448201956982,0
1,3,1,0,29.077735257015927,-2.096448201956982,0
1,4,1,0,28.316667912461302,-2.096448201956982,0
1,5,1,1,26.155658209321516,-2.096448201956982,1
1,6,1,1,26.886856195842444,-2.096448201956982,1
1,7,1,1,24.450803702520172,-2.096448201956982,1
1,8,1,1,25.84141655918954,-2.096448201956982,1
2,1,0,0,17.246498293122137,0.6797168074778418,0
2,2,0,0,16.96127150658658,0.6797168074778418,0
2,3,0,0,18.145848720684565,0.6797168074778418,0
2,4,0,0,18.826488364798795,0.6797168074778418,0
2,5,0,1,17.559299820087887,0.6797168074778418,0
2,6,0,1,17.328697943260423,0.6797168074778418,0
2,7,0,1,16.770136806536954,0.6797168074778418,0
2,8,0,1,19.54911523833182,0.6797168074778418,0
3,1,0,0,19.205571874664177,-0.006195640992073703,0
3,2,0,0,21.84699162831445,-0.006195640992073703,0
3,3,0,0,18.758279167922918,-0.006195640992073703,0
3,4,0,0,18.409365220168617,-0.006195640992073703,0
3,5,0,1,18.56621258588552,-0.006195640992073703,0
3,6,0,1,17.866649708423928,-0.006195640992073703,0
3,7,0,1,17.901640587193025,-0.006195640992073703,0
3,8,0,1,18.541983143148165,-0.006195640992073703,0
4,1,0,0,19.092657420968873,0.49144967908892995,0
4,2,0,0,20.55390347796859,0.49144967908892995,0
4,3,0,0,20.49286358067743,0.49144967908892995,0
4,4,0,0,19.564329043580667,0.49144967908892995,0
4,5,0,1,17.054180819957686,0.49144967908892995,0
4,6,0,1,19.20712275556544,0.49144967908892995,0
4,7,0,1,17.574836846683993,0.49144967908892995,0
4,8,0,1,17.490248475100312,0.49144967908892995,0
5,1,1,0,20.215969453181458,-0.7442459285597672,0
5,2,1,0,20.822225219925905,-0.7442459285597672,0
5,3,1,0,22.346704066944906,-0.7442459285597672,0
5,4,1,0,18.75949353505971,-0.7442459285597672,0
5,5,1,1,17.017745570513082,-0.7442459285597672,1
5,6,1,1,18.08122178003009,-0.7442459285597672,1
5,7,1,1,16.764963886875663,-0.7442459285597672,1
5,8,1,1,16.900459074983306,-0.7442459285597672,1
6,1,1,0,20.988824698373385,-0.2698996510417867,0
6,2,1,0,21.315438630550847,-0.2698996510417867,0
6,3,1,0,22.39460964813514,-0.2698996510417867,0
6,4,1,0,23.76946844836978,-0.2698996510417867,0
6,5,1,1,19.407622762393615,-0.2698996510417867,1
6,6,1,1,18.858041931316855,-0.2698996510417867,1
6,7,1,1,21.501337627365174,-0.2698996510417867,1
