permutation,difference_under_sharp_null
1,1.403863928090118
2,-0.7998747032191318
3,-0.376837268373464
4,-1.4146453890504205
5,0.8044190307091554
6,0.9162240627817226
7,-0.05728746225909731
8,-0.5217562678489713
9,-0.4656851283829013
10,-1.0758762013775964
11,-1.1493220295635211
12,-1.2393012351984538
13,1.8512824130373104
14,1.0771585987530585
15,0.6569598032023265
16,-0.7344413378394137
17,-0.19548410175595166
18,0.541198368160579
19,-0.7417430862249574
20,-0.45991480525465533
21,1.0072081921353941
22,0.0003449689370000897
23,-1.3450817956816081
24,-0.14949120175666053
25,1.161875231905782
26,0.1457617893242258
27,0.0020211662780127426
28,-2.026739297428051
29,-1.0277141269157397
30,-0.3346357332718952
31,-0.26590311602925
32,-0.6833557985635537
33,0.6571190333112185
34,0.8570211723422432
35,-1.0487016808512521
36,-0.3532611410752651
37,-0.17766032645317864
38,0.5101685517403354
39,-0.15893272912444445
40,1.0955910980433288
41,1.176579594076415
42,-0.4748349521552484
43,0.5566314079656678
44,-0.12427539421177869
45,-0.7007796176915093
46,-1.9944892272185655
47,-0.8469460302049043
48,-0.8612209216090179
49,-0.025191348999769048
50,-0.2369655849891643
51,-0.0014650162780753817
52,0.17195220390186705
53,0.38163853914844026
54,0.07470591872539956
55,-0.5900213824040179
56,0.964471167397889
57,1.0278957658687347
58,-0.916687734099483
59,-0.2807380617203279
60,-0.19684753424785129
61,0.5980203573052876
62,0.03224779055992144
63,-0.788935807377257
64,-1.0474402769986284
65,0.5425142926718252
66,1.006099462345503
67,0.19340777809956933
68,0.41171672931916703
69,0.4208776856058307
70,0.6835014980907914
71,1.1550517672314697
72,-1.5123408487502275
73,-0.12693531210855724
74,-0.2589098917399042
75,-0.5731287856104217
76,0.8396636472275105
77,0.7241793627861881
78,0.9243361094496834
79,0.7906806426454551
80,0.5531439269991978
81,-0.7958437924012571
82,-0.8055512457699905
83,1.7604492465277701
84,0.20426407697478055
85,0.5116138018429268
86,2.105515368417187
87,0.061170777211017935
88,-1.4336853302389727
89,0.01625797525980488
90,1.378308393435205
91,-1.1225279091976716
92,1.2124930192638743
93,-0.6715423418645656
94,-0.14583657559762742
95,-1.1309768685552655
96,-0.1882073588059825
97,-0.7181903804479077
98,-0.07170071471429651
99,0.9091882530248654
100,-0.32121072301512754
101,-0.40115292399305247
102,0.23876103038044505
103,0.327210508987406
104,0.29718297668438254
105,0.6706986037480789
106,1.4036094806591564
107,-0.8079176589236994
108,0.3414560698439715
109,0.7387131491798442
110,0.3531267638284703
111,0.20897431744158723
112,-0.6929849068886114
113,0.8949504761643965
114,0.12082013033864314
115,-0.476010635472619
116,-1.6730177678362281
117,-0.29155497261952235
118,0.8121940191546742
119,-1.5152403992458545
120,0.6440323416481419
121,-0.5102566553676269
122,-0.6940897465769638
123,-0.0073649680754357405
124,-1.5327479058180131
125,0.601084360101126
126,-1.0273087137036327
127,-2.1471891796830533
128,1.2243459947299442
129,-0.6047615798329247
130,-0.6917932925152286
131,-1.539398124749411
132,0.873576804550737
133,1.1077239037730209
134,0.7055770605554557
135,0.743951053229182
136,0.136337795340836
137,-1.8911495987643292
138,0.886458768653938
139,-0.5808524149020684
140,-0.35892258496387797
141,0.9195767054948902
142,-0.36175839814841027
143,-0.7797016837229478
144,0.504581549952249
145,0.2957994796357042
146,-0.6181609507861054
147,-0.44570086113067475
148,0.4832728730771123
149,1.1968267316616021
150,0.5491890071602228
151,0.5067642894164948
152,-0.3476390618650953
153,0.20846814352384513
154,-0.5181332648604666
155,0.36523932757621935
156,-0.30795830254616874
157,0.7964173680165061
158,-0.28905228373118064
159,-0.4311796547578268
160,2.3266568460815193
161,0.3952955300194958
162,1.235300343165619
163,-0.8368454896297237
164,0.5873828376581542
165,0.7372741123766531
166,-0.8926306501161321
167,-0.23993030640235702
168,0.21900861518625447
169,-0.8455767118398683
170,0.6888873597889216
171,-0.6072510364717658
172,0.26512660035483293
173,2.335111143911874
174,-0.9668917963422672
175,0.848777945471852
176,0.5550074358646668
177,1.0739745666446652
178,0.5351591698280203
179,-0.5124674573604011
180,-1.1099270477534162
181,1.3278298384291958
182,0.839104785676895
183,1.2921850225343832
184,1.230016820204881
185,-0.41194709719839295
186,0.2502045103169763
187,0.029503684092560434
188,-0.7499603334965883
189,0.842098848019674
190,-1.1878345703031243
191,0.961361751264505
192,0.1342125699256087
193,-0.44436967195993304
194,-0.13483814779823433
195,0.1423784645284627
196,1.1484007997096342
197,-0.2489338265021388
198,-0.6964707821462071
199,-1.35437145656023
200,0.8555216321035743
201,1.7347768312811525
202,0.08308420628431179
203,-1.1193981284016274
204,0.768129910589451
205,0.9301881957213851
206,-0.4262855050011609
207,0.8894741476944716
208,0.0035298789901077043
209,1.0279013304524938
210,-0.09251076072369813
211,-0.9231926265433117
212,-0.23832319581327965
213,-0.9165781308232823
214,1.2368236492438314
215,1.134614118726688
216,1.191659515002769
217,0.593339632872599
218,0.0828562680470668
219,0.7503349542913185
220,-1.3517564993995137
221,1.6021832758078318
222,0.7996061320123289
223,-0.9127302800025205
224,-0.011172268440517996
225,0.7746169121404307
226,-0.8169521748554018
227,-0.592239776342069
228,1.434011778951941
229,-0.3750239734215768
230,0.242832995918846
231,0.5378017935009751
232,-1.3998066991178604
233,1.887449236984196
234,-0.5747906381084533
235,0.24847217791669607
236,0.054726666566054405
237,-1.456157485448557
238,-1.7083446330774308
239,0.42128206655822
240,-1.175703152255707
241,-0.412014708883234
242,-1.5850754910922689
243,-1.2845938677899795
244,0.5287893879956869
