employee_id,baseline_score,high_need,treatment,outcome_y0,outcome_y1,individual_treatment_effect,followup_score
1,40.3060968311424,1,1,50.17725506721521,57.17725506721521,7,57.17725506721521
2,60.11030523002375,0,1,77.0817163247016,81.0817163247016,4,81.0817163247016
3,64.91536447223831,0,1,76.7549661563979,80.7549661563979,4,80.7549661563979
4,67.10687674216562,0,0,65.17519514314066,69.17519514314066,4,65.17519514314066
5,65.42937140147494,0,0,83.25902042406167,87.25902042406167,4,83.25902042406167
6,47.381401107318325,1,0,57.63110139270758,64.63110139270758,7,57.63110139270758
7,77.51181521880218,0,0,77.91183017422526,81.91183017422526,4,77.91183017422526
8,52.75995646796662,1,1,51.158654224488856,58.158654224488856,7,58.158654224488856
9,61.237609221542485,0,1,61.66051434872464,65.66051434872463,4,65.66051434872463
10,60.21627702952757,0,1,77.79349716470551,81.79349716470551,4,81.79349716470551
11,50.05232406476016,1,0,58.167633444122664,65.16763344412266,7,58.167633444122664
12,53.861099582204844,1,1,76.44615656559566,83.44615656559566,7,83.44615656559566
13,66.5398420506361,0,1,73.25765953368823,77.25765953368823,4,77.25765953368823
14,68.20356501948947,0,0,72.24172848822653,76.24172848822653,4,72.24172848822653
15,53.546907918627525,1,1,62.02473615692985,69.02473615692985,7,69.02473615692985
16,72.01599154513347,0,1,78.80882313255869,82.80882313255869,4,82.80882313255869
17,61.31641699839336,0,0,77.35165688916948,81.35165688916948,4,77.35165688916948
18,75.28270222065844,0,1,95.59593379833578,99.59593379833578,4,99.59593379833578
19,54.91140256200803,1,0,71.4466596492897,78.4466596492897,7,71.4466596492897
20,54.00120512521821,1,1,61.00328431259469,68.00328431259469,7,68.00328431259469
21,64.09056493094053,0,0,65.86039700097221,69.86039700097221,4,65.86039700097221
22,55.166963257242486,0,0,65.29717080801376,69.29717080801376,4,65.29717080801376
23,59.46598991932814,0,0,69.23260699748741,73.23260699748741,4,69.23260699748741
24,67.29945766344495,0,1,68.50284092585576,72.50284092585576,4,72.50284092585576
25,58.24561133480856,0,1,64.6177601955248,68.6177601955248,4,68.6177601955248
26,77.86271293110553,0,0,72.3305508580471,76.3305508580471,4,72.3305508580471
27,53.38265855452721,1,0,62.903932464322565,69.90393246432257,7,62.903932464322565
28,50.29573629760931,1,0,67.11284681549292,74.11284681549292,7,67.11284681549292
29,59.716027556034255,0,0,64.88526550403525,68.88526550403525,4,64.88526550403525
30,65.46939719036935,0,0,75.62966218937545,79.62966218937545,4,75.62966218937545
31,79.13771080303938,0,0,77.07088531524374,81.07088531524374,4,77.07088531524374
32,49.74048646992203,1,0,59.96368410118267,66.96368410118268,7,59.96368410118267
33,66.49597561079159,0,0,67.08400874450612,71.08400874450612,4,67.08400874450612
34,73.52752837704998,0,1,75.35623161445572,79.35623161445572,4,79.35623161445572
35,58.76142136557885,0,0,70.38887791573013,74.38887791573013,4,70.38887791573013
36,75.75239610752176,0,1,83.21891537861222,87.21891537861222,4,87.21891537861222
37,70.33714445311982,0,0,81.7876754489224,85.7876754489224,4,81.7876754489224
38,70.60769691136076,0,1,84.10301059811745,88.10301059811745,4,88.10301059811745
39,52.0000615497666,1,0,54.06662149229993,61.06662149229993,7,54.06662149229993
40,40.18368825616302,1,1,52.017075394825184,59.017075394825184,7,59.017075394825184
41,75.85249182569513,0,0,86.07277407778378,90.07277407778378,4,86.07277407778378
42,51.02641555967845,1,1,55.30450686508251,62.30450686508251,7,62.30450686508251
43,59.774107697531086,0,0,75.10735371271352,79.10735371271352,4,75.10735371271352
44,58.54482502208213,0,1,78.64319028653718,82.64319028653718,4,82.64319028653718
45,43.95544654179033,1,0,66.38622376593341,73.38622376593341,7,66.38622376593341
46,47.075837509787405,1,0,56.172786688051175,63.172786688051175,7,56.172786688051175
47,62.34800837758668,0,0,65.04713720891002,69.04713720891002,4,65.04713720891002
48,68.93009780260624,0,1,77.6616585760841,81.6616585760841,4,81.6616585760841
49,32.4636495101725,1,0,45.29494572984848,52.29494572984848,7,45.29494572984848
50,73.43881901211672,0,1,87.24538182780914,91.24538182780914,4,91.24538182780914
51,75.36230078496703,0,1,86.218888068835,90.218888068835,4,90.218888068835
52,66.237757399694,0,0,85.92450738739126,89.92450738739126,4,85.92450738739126
53,60.36658855905686,0,0,72.68341224716582,76.68341224716582,4,72.68341224716582
54,61.90935028684213,0,1,64.0708767661083,68.0708767661083,4,68.0708767661083
55,29.585522245528264,1,1,38.945812522823665,45.945812522823665,7,45.945812522823665
56,55.73760425839677,0,0,74.85734178649464,78.85734178649464,4,74.85734178649464
57,54.700617509792295,1,0,67.84776044031702,74.84776044031702,7,67.84776044031702
58,48.4895217988096,1,1,70.18527422662486,77.18527422662486,7,77.18527422662486
59,53.1952660742014,1,1,71.58230583629751,78.58230583629751,7,78.58230583629751
60,43.89581100778244,1,1,69.09853170876586,76.09853170876586,7,76.09853170876586
61,65.91276296669591,0,1,82.87243779836261,86.87243779836261,4,86.87243779836261
62,65.49757029982865,0,1,84.69940063271177,88.69940063271177,4,88.69940063271177
63,56.64977760330674,0,1,74.79178679727424,78.79178679727424,4,78.79178679727424
64,62.0043618435443,0,0,80.67656122128685,84.67656122128685,4,80.67656122128685
65,50.31108243373793,1,0,52.65380112012829,59.65380112012829,7,52.65380112012829
66,68.4317824795115,0,1,78.81891175116886,82.81891175116886,4,82.81891175116886
67,48.590179716562,1,1,65.71335099611755,72.71335099611755,7,72.71335099611755
68,53.39642852986859,1,1,66.52315905399581,73.52315905399581,7,73.52315905399581
69,71.66999426724468,0,0,87.58126166795157,91.58126166795157,4,87.58126166795157
70,55.87877673109202,0,0,65.57220460411897,69.57220460411897,4,65.57220460411897
71,67.52246254615741,0,0,68.85347633388785,72.85347633388785,4,68.85347633388785
72,39.46102692541581,1,0,53.07981520353656,60.07981520353656,7,53.07981520353656
73,53.072895793273304,1,0,56.15832571542526,63.15832571542526,7,56.15832571542526
74,77.283199414787,0,0,93.77946500783895,97.77946500783895,4,93.77946500783895
75,74.60294387110693,0,1,89.7176107107524,93.7176107107524,4,93.7176107107524
76,70.61723245560907,0,1,78.12506979387166,82.12506979387166,4,82.12506979387166
77,51.30849541737742,1,0,67.03291447536779,74.03291447536779,7,67.03291447536779
78,62.54930451378776,0,0,74.74949244119436,78.74949244119436,4,74.74949244119436
79,57.12186765820144,0,0,69.11601964308517,73.11601964308517,4,69.11601964308517
80,52.04822619096282,1,0,72.29848780888511,79.29848780888511,7,72.29848780888511
81,49.565702704346144,1,1,71.39303129676604,78.39303129676604,7,78.39303129676604
82,67.73436082507307,0,0,85.66613658392153,89.66613658392153,4,85.66613658392153
83,49.6055750002115,1,0,63.96899009977713,70.96899009977713,7,63.96899009977713
84,59.59554456735199,0,0,71.54358155991532,75.54358155991532,4,71.54358155991532
85,70.56703031378045,0,1,80.11198118344684,84.11198118344684,4,84.11198118344684
86,75.1740164692607,0,0,86.90532843563672,90.90532843563672,4,86.90532843563672
87,56.67668391769299,0,1,79.4476897977739,83.4476897977739,4,83.4476897977739
88,50.831318817162156,1,1,63.515273965415936,70.51527396541593,7,70.51527396541593
89,50.12921935787583,1,1,65.28646449253246,72.28646449253246,7,72.28646449253246
90,57.651103862804135,0,1,67.80149204230439,71.80149204230439,4,71.80149204230439
91,38.54761848792019,1,1,57.90689187018303,64.90689187018303,7,64.90689187018303
92,48.118070473397125,1,1,61.83140898164894,68.83140898164893,7,68.83140898164893
93,51.667243140683304,1,0,64.2126525897569,71.2126525897569,7,64.2126525897569
94,51.77937807293932,1,0,55.961276952879594,62.961276952879594,7,55.961276952879594
95,63.73068747632277,0,0,74.29617010176457,78.29617010176457,4,74.29617010176457
96,57.71646708235511,0,0,69.8897883787114,73.8897883787114,4,69.8897883787114
97,57.04354522946486,0,1,77.41353914657088,81.41353914657088,4,81.41353914657088
98,37.75884959001718,1,0,51.93195144001342,58.93195144001342,7,51.93195144001342
99,61.26481795679628,0,0,71.76671181910443,75.76671181910443,4,71.76671181910443
100,75.51905113473718,0,0,93.23755040721898,97.23755040721898,4,93.23755040721898
101,51.947527199758994,1,1,69.89925369436222,76.89925369436222,7,76.89925369436222
102,28.155818716310502,1,1,41.94036208009517,48.94036208009517,7,48.94036208009517
103,39.55576702738467,1,1,60.346844576762216,67.34684457676221,7,67.34684457676221
104,56.66121089006679,0,1,74.90113928089372,78.90113928089372,4,78.90113928089372
105,58.11573356007032,0,0,68.93036462197814,72.93036462197814,4,68.93036462197814
106,51.78563235943949,1,1,63.55633094147894,70.55633094147893,7,70.55633094147893
107,51.977530266275515,1,1,60.83815895190007,67.83815895190007,7,67.83815895190007
108,69.33002140775604,0,1,83.82085609373844,87.82085609373844,4,87.82085609373844
109,78.0817190899988,0,1,85.45103088342154,89.45103088342154,4,89.45103088342154
110,59.80469286712582,0,0,73.09046919697164,77.09046919697164,4,73.09046919697164
111,61.99518339299687,0,1,70.42642146970721,74.42642146970721,4,74.42642146970721
112,56.487202247725406,0,1,58.24603877473847,62.24603877473847,4,62.24603877473847
113,63.56572672756793,0,0,70.3833640782626,74.3833640782626,4,70.3833640782626
114,48.55492577155727,1,1,58.810898205881664,65.81089820588167,7,65.81089820588167
115,44.94562037925779,1,1,60.54426466782738,67.54426466782738,7,67.54426466782738
116,63.88893733869517,0,0,76.92827330148339,80.92827330148339,4,76.92827330148339
117,55.69544432553499,0,1,49.30861818587053,53.30861818587053,4,53.30861818587053
118,55.424608992923524,0,0,75.3693368116312,79.3693368116312,4,75.3693368116312
119,62.3207502906336,0,1,71.74698216880778,75.74698216880778,4,75.74698216880778
120,44.2561882558446,1,1,67.89356393960493,74.89356393960493,7,74.89356393960493
121,71.2392327757486,0,1,72.02684888461931,76.02684888461931,4,76.02684888461931
122,51.05988612359615,1,1,53.993971381459744,60.993971381459744,7,60.993971381459744
123,65.44310630938571,0,0,77.28609461122507,81.28609461122507,4,77.28609461122507
124,40.50975567653128,1,0,45.019665522479045,52.019665522479045,7,45.019665522479045
125,37.03786408804049,1,0,57.99680215144427,64.99680215144427,7,57.99680215144427
126,61.83155715673248,0,1,74.57230680355,78.57230680355,4,78.57230680355
127,68.31153026518709,0,1,83.00931191190065,87.00931191190065,4,87.00931191190065
128,74.13850481839215,0,0,76.06412744141579,80.06412744141579,4,76.06412744141579
129,57.71032911630903,0,0,76.45812452357121,80.45812452357121,4,76.45812452357121
130,59.98097273784125,0,1,75.22979512969602,79.22979512969602,4,79.22979512969602
131,62.84117503753403,0,0,84.38903806536678,88.38903806536678,4,84.38903806536678
132,57.18683586807731,0,0,65.58185249011802,69.58185249011802,4,65.58185249011802
133,55.19266324900892,0,1,67.53910212217947,71.53910212217947,4,71.53910212217947
134,75.41475351544564,0,0,92.81689112227349,96.81689112227349,4,92.81689112227349
135,71.33574335961976,0,1,75.14296400723397,79.14296400723397,4,79.14296400723397
136,63.42592622377838,0,0,67.5165596191393,71.5165596191393,4,67.5165596191393
137,64.36974606316743,0,1,77.39104535252655,81.39104535252655,4,81.39104535252655
138,56.08807650668241,0,1,87.57521031390675,91.57521031390675,4,91.57521031390675
139,44.77164776235149,1,0,62.21749495277139,69.21749495277139,7,62.21749495277139
140,67.29497732235475,0,1,85.12141073278983,89.12141073278983,4,89.12141073278983
141,41.56265938469129,1,1,48.51357091709657,55.51357091709657,7,55.51357091709657
142,65.10206596426453,0,1,86.94663540321592,90.94663540321592,4,90.94663540321592
143,48.50252812057224,1,1,71.6970817826631,78.6970817826631,7,78.6970817826631
144,64.29831287464408,0,0,83.89084487181604,87.89084487181604,4,83.89084487181604
145,57.21037534771574,0,1,65.57285881751964,69.57285881751964,4,69.57285881751964
146,59.113526998323586,0,0,74.28288831704602,78.28288831704602,4,74.28288831704602
147,70.7036103449105,0,0,82.1939319286369,86.1939319286369,4,82.1939319286369
148,67.11461284022974,0,0,74.9930875544947,78.9930875544947,4,74.9930875544947
149,66.79776900417696,0,0,93.62859902961048,97.62859902961048,4,93.62859902961048
150,45.13344856579246,1,0,50.47367353258783,57.47367353258783,7,50.47367353258783
151,56.52664953138003,0,0,65.41769182733445,69.41769182733445,4,65.41769182733445
152,68.66480104640121,0,0,83.96335809191942,87.96335809191942,4,83.96335809191942
153,60.734651143069044,0,0,87.54971477381427,91.54971477381427,4,87.54971477381427
154,42.000244722214596,1,1,49.21863360496908,56.21863360496908,7,56.21863360496908
155,67.29551080084534,0,1,76.37313866541004,80.37313866541004,4,80.37313866541004
