household_id,before_kwh,after_kwh
1,14.82677650677501,12.087785270127398
2,15.789245961024431,12.519813867629573
3,27.068872352641087,26.882129613793616
4,23.034311283104806,22.135495549700064
5,30.819535358215365,29.7931669900291
6,26.194545086319067,23.876581513988757
7,11.785353630000134,7.075714349619881
8,18.15791176367424,16.859667146039303
9,8.0,7.807634092223805
10,27.891133873870487,28.11190128117833
11,15.418489243783062,16.58351836006209
12,19.38897279659708,17.971607130580388
13,27.012914313941323,27.891949451897425
14,19.109366271082784,21.868575736585154
15,18.664494305670267,13.56971246587566
16,10.662979928980711,8.297504535120158
17,9.10936669017743,5.0
18,27.038751700534213,23.644873252582983
19,19.303405260662917,19.356876173184492
20,24.370511714898903,23.62666320693443
21,14.756127948790501,13.263251209777435
22,30.90050216242002,29.462079733838397
23,26.75557840498845,22.44029841136624
24,15.557723595173442,17.14502364365797
25,24.345148141513604,20.171331886707367
26,15.126301235356939,10.240215904886618
27,26.240341525261883,25.947215551038486
28,21.707910542138144,22.727541745290647
29,10.048016415915642,9.725121106051256
30,16.669304865795468,17.583994644771632
31,15.62371082507644,18.59052066754774
32,21.382413363237617,20.26695961133383
33,14.447773682380722,14.713154851966497
34,22.309544952187565,21.65106072203216
35,25.50125344054752,20.653973100759732
36,16.174136669318365,14.252137978626198
37,21.018523904383823,20.828065360323386
38,30.892941480849736,30.345296224823006
39,27.569007566608327,22.703260894791306
40,19.79277073181066,19.1540400743805
41,27.28850144584963,27.827046136928203
42,27.904055734989605,26.15568281635781
43,26.385769172870575,25.239438790235926
44,29.723631838686913,28.998467002597458
45,30.013616144594263,29.086933952961427
46,18.464241619296097,14.608380907923683
47,26.69178458592971,20.875156364230925
48,12.542045661019703,12.475172566767132
49,20.863415611907403,23.14737390623672
50,22.60029463783332,20.48201279155328
51,15.857418765806077,14.453086473069485
52,17.551884397346054,19.496906343424445
53,15.189443271619602,14.801310707538573
54,24.69908588606451,24.763807445068284
55,26.045267477835072,27.23986197039242
56,18.87926452993188,15.055400975407736
57,25.837661263209903,25.689856516807513
58,28.989117066077416,27.72031035888328
59,19.414056707282178,16.94228189017334
60,26.930602388733433,24.938024505930457
