customer_id,price_increase_pct,loyalty_years,automatic_payment,renewed,oracle_renewal_probability
1,15.56992428794142,0.3118369184379093,0,0,0.3946648109297687
2,15.64340470499598,4.0555505590731835,1,1,0.7645014718876038
3,23.635101866679754,2.947325639405708,0,0,0.22322678930807552
4,1.4548997592702033,0.8716210036836385,1,1,0.9510751244111011
5,0.9617472846589842,4.7468712806594935,0,1,0.9632485782709774
6,21.333243970219115,4.759993413441224,0,0,0.40189258854088766
7,21.228500551402323,4.94486281017298,0,0,0.41717941224900157
8,13.708019468672978,7.9317723445873645,0,1,0.8502014408809772
9,6.681770414933375,2.6294863931611214,0,1,0.8492022775747702
10,21.927565143054572,5.401313767318341,0,0,0.4132256743121199
11,14.756034198570697,6.337427946019309,0,1,0.762221304894983
12,11.740115333527026,4.128249269796405,1,1,0.8696150104256349
13,16.840457867973964,7.958447888359041,1,0,0.869749427181831
14,4.167609175020087,1.4947141342340702,0,1,0.8708574806721281
15,0.9174891165239479,7.645691949193519,1,1,0.9908952992119353
16,10.990013821026773,7.343068911400861,0,1,0.8893515015403359
17,16.14936295557662,3.1228549312622595,0,0,0.5355896744724838
18,14.964850194259752,7.332464858090654,0,1,0.7967523199515995
19,7.322790938685947,5.777677179551759,1,1,0.9564175547950273
20,13.282562469384573,5.762026628585935,1,1,0.8820538710335563
21,1.445515886123558,4.260193026578128,1,1,0.9777356690355322
22,7.1442771648874634,6.1073284538272254,1,1,0.9608263338408604
23,0.24001593575630198,7.172551218699442,0,1,0.9816248396012938
24,7.250086470867146,0.2499895608261964,1,1,0.8550761292555604
25,19.076060704537028,6.8121862491716225,0,0,0.6227492285967264
26,12.380866884025213,3.050774647280802,1,1,0.8210723765330291
27,19.498514147650003,3.3745630788453767,1,0,0.5793638766382466
28,2.624123809175943,2.4980116832519386,1,1,0.9587974825121501
29,3.189757424561776,2.5597634692952624,0,1,0.9121510625982885
30,24.393744693456473,6.035400736833078,1,1,0.5193957953608731
31,20.778285752354606,1.4308014975918386,1,0,0.40692328584904564
32,5.175906669517291,7.968244542953904,0,1,0.9637612807393491
33,21.21369561914165,4.208034647368581,0,1,0.37553657382679345
34,15.282729798319469,0.8261496689381849,1,1,0.6147645295562827
35,7.188013648899472,3.6209862290758394,0,1,0.86705815090558
36,5.654838049674968,0.8799139249517065,0,0,0.8165743400633482
37,23.79620290683562,5.677074047607049,1,0,0.5247750062315194
38,3.028215909664839,5.666710663180256,0,1,0.9575044781338918
39,12.006073751998025,5.571198897864148,1,1,0.8998892349636143
40,17.484291813266296,2.4819167031435105,0,1,0.43745125205207486
41,23.8680407514272,2.0034936163109265,0,0,0.18013858222526122
42,20.854863904734447,1.0478483268222147,1,0,0.3816874711334488
43,15.661743301266293,5.655475990182902,1,1,0.826094976655655
44,9.838530450102493,1.1228437527173982,1,1,0.8203244221919561
45,14.666944615036565,2.841040176776307,1,1,0.7430343032118076
46,12.046556731057922,3.7730123872202928,0,0,0.7382983238367568
47,3.4466966958609513,2.135269043071184,0,1,0.8995341514129243
48,15.622711517268103,5.705827849263016,1,1,0.8288232975860005
49,6.070361072517169,4.817991166415191,0,1,0.9140133312208194
50,24.489216737053994,2.7842856840358543,1,0,0.32743032042085984
51,12.395891019940644,4.575512361874355,0,0,0.7625774447846557
52,5.3389353669152095,2.6822040669447036,1,1,0.9371869901697518
53,14.884480157376231,5.0259323491750125,0,0,0.6957238919877591
54,14.507756105577016,6.845390942519054,1,1,0.8860988682626927
55,6.398637289623585,3.24676971325945,0,1,0.8729691247267857
56,12.921533743956426,1.4736095926650368,0,1,0.5812216084143716
57,21.352361370151314,5.159839465300013,0,1,0.42432011926594665
58,20.821284902077096,1.308587904179256,0,0,0.24346599784213058
59,16.679403038401162,3.7694764703851664,0,0,0.550423463520259
60,13.931206699659752,4.231227381662178,1,1,0.8216955351778528
61,2.3163988315888036,0.5022036430822894,1,1,0.9384036218653276
