student_id,baseline_score,motivation_score,digital_access,treatment,outcome_y0,outcome_y1,observed_exam_score
1,42.09645166467491,-1.0308731493824068,0,1,53.067843832696184,57.243145313190254,57.243145313190254
2,60.100277481839775,-0.2551330478624794,1,1,63.68551816564535,68.48141172735536,68.48141172735536
3,64.46851315658029,1.6934256692140948,1,0,77.32737247734417,83.68211301271545,77.32737247734417
4,66.46079703833239,-0.3366684510962985,0,1,61.7304579475688,66.46112318669176,66.46112318669176
5,64.93579218315902,-0.7190641038270482,0,0,62.630800280139226,67.0555489970776,62.630800280139226
6,48.52854646119848,-0.11525157406723388,1,1,64.69965139683984,69.60745013758606,69.60745013758606
7,75.9198320170929,1.1900427050882092,0,1,63.55999399345188,69.51202815752245,69.51202815752245
8,53.41814224360601,-0.9601312425717905,1,1,57.773545243269794,62.00544024921236,62.00544024921236
9,61.125099292311354,-1.5021653810973505,1,0,62.247729676817116,66.04599737193924,62.247729676817116
10,60.1966154813887,0.0885248382242051,0,0,59.47995786961188,64.55077774019125,59.47995786961188
11,50.956658240691056,1.815242215221682,1,0,51.987424428527184,58.43961820070453,51.987424428527184
12,54.41918143836804,0.49136088651785065,1,0,65.9069912005004,71.30007990971468,65.9069912005004
13,65.94531095512372,-1.173792895138073,1,0,70.17434187773252,74.23530756162205,70.17434187773252
14,67.45778638135407,-1.1810857482783508,1,0,69.61555120804152,73.67068260941885,69.61555120804152
15,54.13355265329775,0.5728699063512971,0,0,44.99835427508363,50.45665020016467,44.99835427508363
16,70.92362867739406,0.07951525603737152,0,1,68.05509987663275,73.11871208146265,73.11871208146265
17,61.19674272581214,-0.6430021676547077,1,1,75.93280662397382,80.41840488985005,80.41840488985005
18,73.89336565514404,0.747584991152752,0,1,70.94940260730971,76.5474706002319,76.5474706002319
19,55.37400232909821,-0.1167269318827132,0,0,49.55267850376311,54.45929695825694,49.55267850376311
20,54.54655011383474,-0.5128418244536959,0,0,57.07917535754309,61.668901897980135,57.07917535754309
21,63.71869539176412,0.3993537452890414,0,1,68.68599299535445,74.00547599158568,74.00547599158568
22,55.6063302338568,-0.7218083500861621,1,1,70.63695749571599,75.05951081564706,75.05951081564706
