hospital_id,observed_periods,urban,estimated_intercept,standard_error,ci_95_low,ci_95_high,oracle_hospital_intercept,estimated_centered_fe,oracle_centered_fe,absolute_centered_error,interval_width,estimated_rank,oracle_rank
1,7,0,58.82559676290538,2.117371128719493,54.67554935061517,62.97564417519558,61.04822583233745,-9.963293578333435,-8.778560524732058,1.1847330536013772,8.300094824580412,58.0,57.0
2,8,1,70.84346809661378,2.255858043119872,66.42198633209883,75.26494986112873,70.05013874091989,2.0545777553749645,0.2233523838503828,1.8312253715245816,8.842963529029902,24.0,30.0
3,4,1,69.26251633114698,2.719544355001182,63.932209395344664,74.5928232669493,72.23425657829014,0.4736259899081716,2.4074702212206347,1.933844231312463,10.660613871604632,30.0,22.0
4,6,1,71.99812190914764,2.4823000640862047,67.13281378353868,76.8634300347566,73.23039851916619,3.20923156790883,3.403612162096678,0.19438059418784803,9.730616251217924,18.0,16.0
5,4,0,72.83275533458566,2.8172610742359345,67.31092362908322,78.35458704008809,72.46789609157952,4.043864993346844,2.6411097345100103,1.4027552588368337,11.043663411004871,14.0,21.0
6,5,0,63.09349709350884,2.4021894731579345,58.38520572611929,67.8017884608984,64.26427323059924,-5.6953932477299745,-5.5625131264702645,0.13288012125970994,9.416582734779105,54.0,53.0
7,4,1,78.3192565390523,3.1034363340803703,72.23652132425478,84.40199175384983,77.95991600854644,9.530366197813493,8.133129651476935,1.3972365463365577,12.165470429595047,1.0,3.0
8,9,0,65.63727777314723,2.1650906278150592,61.39370014262972,69.88085540366475,66.709071121803,-3.151612568091579,-3.117715235266502,0.03389733282507734,8.487155261035035,45.0,46.0
9,7,1,70.65743927650598,2.210420467629726,66.32501515995172,74.98986339306025,70.56254964615567,1.868548935267171,0.7357632890861652,1.1327856461810057,8.664848233108529,25.0,27.0
10,4,0,69.62124942576673,2.692340223843285,64.3442625870339,74.89823626449957,70.09830774069435,0.8323590845279227,0.2715213836248438,0.5608377009030789,10.553973677465677,28.0,29.0
11,5,0,65.84706185587618,2.3996427323620377,61.14376210044658,70.55036161130577,65.47832912034552,-2.9418284853626346,-4.348457236723988,1.4066287513613531,9.406599510859195,44.0,50.0
12,6,0,67.06800595314992,2.4362221575939147,62.293010524265846,71.84300138203399,67.20959071918402,-1.7208843880888907,-2.6171956378854873,0.8963112497965966,9.549990857768144,39.0,42.0
13,11,0,73.79637548659103,2.2232245560639177,69.43885535670576,78.1538956164763,72.97265547756186,5.00748514535222,3.1458691204923497,1.8616160248598703,8.715040259770547,9.0,17.0
14,12,1,71.05714534482908,2.1917815470150983,66.76125351267949,75.35303717697867,73.72889319067703,2.2682550035902693,3.902106833607519,1.6338518300172495,8.591783664299186,22.0,14.0
15,5,1,66.46600853014135,2.3559687973326096,61.84830968736944,71.08370737291327,67.06677632664888,-2.32288181109746,-2.7600100304206308,0.4371282193231707,9.23539768554383,40.0,43.0
16,5,1,73.45312369596408,2.8231102459517547,67.91982761389865,78.98641977802951,75.46181433869702,4.664233354725269,5.635027981627516,0.9707946269022472,11.066592164130867,12.0,10.0
17,7,0,68.77073294286565,2.4126865989024813,64.04186720901679,73.49959867671451,70.59837136290608,-0.018157398373162437,0.7715850058365703,0.7897424042097327,9.457731467697727,32.0,26.0
18,5,1,72.79902667830041,2.866862410200111,67.1799763543082,78.41807700229262,76.94668282757202,4.010136337061596,7.1198964705025105,3.109760133440915,11.238100647984425,16.0,7.0
19,12,0,68.3307034556017,2.1286908632800725,64.15846936357275,72.50293754763064,67.6870011645491,-0.45818688563711873,-2.1397851925204066,1.6815983068832878,8.344468184057888,34.0,39.0
20,10,0,68.18354253037418,2.049445811916701,64.16662873901745,72.20045632173091,67.27327505691737,-0.6053478108646289,-2.553511300152138,1.9481634892875093,8.033827582713457,35.0,41.0
21,8,0,70.43981903854997,2.3514621825891564,65.83095316067522,75.04868491642472,71.85934769588206,1.6509286973111585,2.032561338812556,0.38163264150139753,9.217731755749497,26.0,23.0
22,12,1,65.5442791817924,2.1164798588764304,61.395978658394604,69.69257970519021,67.8031651169284,-3.244611159446407,-2.023621240141111,1.2209899193052962,8.296601046795608,46.0,38.0
23,11,0,67.55407327518304,2.1609587834141073,63.31859405969139,71.7895524906747,69.75726814514915,-1.2348170660557685,-0.06951821192035368,1.1652988541354148,8.470958430983302,38.0,33.0
24,5,1,71.90844068342885,2.6638309680471486,66.68733198605644,77.12954938080127,73.3179353015659,3.1195503421900384,3.4911489444963877,0.37159860230634933,10.44221739474483,19.0,15.0
25,5,1,68.79898228600962,2.4771702239847517,63.9437286469995,73.65423592501973,69.20255060673117,0.010091944770806549,-0.6242357503383431,0.6343276951091497,9.71050727802023,31.0,36.0
26,4,1,73.64555109776667,2.843132947115439,68.07301052142041,79.21809167411293,78.11941496868434,4.856660756527859,8.29262861161483,3.4359678550869717,11.145081152692512,10.0,2.0
27,5,0,64.64042019752942,2.4052703566330234,59.9260902985287,69.35475009653015,66.9921175247851,-4.148470143709389,-2.8346688322844074,1.3138013114249816,9.428659798001455,50.0,44.0
28,9,0,63.459748439472506,2.0745428141213447,59.39364452379467,67.52585235515033,65.58897104436787,-5.329141901766306,-4.237815312701642,1.0913265890646642,8.132207831355664,52.0,49.0
29,4,0,65.974372717509,2.7077713241432866,60.66714092218815,71.28160451282984,69.8709216163792,-2.814517623729813,0.04413525930969797,2.858652883039511,10.61446359064169,42.0,32.0
30,10,1,72.80223545357732,2.3438726055293526,68.2082451467398,77.39622576041485,72.48608963198608,4.013345112338513,2.6593032749165673,1.3540418374219456,9.187980613675052,15.0,20.0
31,11,0,78.20079932945481,2.5059920298337173,73.28905495098073,83.1125437079289,78.698959455927,9.411908988215998,8.872173098857488,0.5397358893585107,9.823488756948166,2.0,1.0
32,11,0,64.9741390676499,2.0631836381231334,60.93029913692856,69.01797899837125,65.33658475905547,-3.814751273588911,-4.490201598014039,0.6754503244251282,8.087679861442687,48.0,51.0
33,11,0,72.21569916943909,2.3425152955185062,67.62436919022282,76.80702914865536,72.95271618672345,3.4268088282002793,3.1259298296539413,0.30087899854633804,9.182659958432538,17.0,18.0
34,7,1,76.1227857708773,2.6129225622507692,71.00145754886579,81.24411399288881,76.14887653502272,7.333895429638488,6.322090177953214,1.0118052516852742,10.242656444023027,3.0,8.0
35,12,1,69.37944821283365,2.108995228589383,65.24581756479846,73.51307886086884,69.43700971162674,0.5905578715948394,-0.38977664544276536,0.9803345170376048,8.267261296070387,29.0,34.0
36,5,1,75.66200403385572,2.741701899051591,70.2882683117146,81.03573975599684,77.16018004887353,6.873113692616911,7.3333936918040195,0.46027999918710805,10.74747144428224,4.0,5.0
