scenario,observation_id,x,y
level_level,1,12.833142458835479,60.15186549689359
level_level,2,12.888987575796945,55.24175808045131
level_level,3,18.962677418676613,73.44811913869182
level_level,4,2.1057238170453547,23.14193728054933
level_level,5,1.7309279363408279,19.459072800788817
level_level,6,17.21326541736653,59.11101722145419
level_level,7,17.133660419065766,68.07763325647356
level_level,8,11.418094796191463,44.65595514173948
level_level,9,6.078145515349364,21.354305153544466
level_level,10,17.664949508721474,71.59758133358775
level_level,11,12.21458599091373,48.77091586465072
level_level,12,9.92248765348054,46.75231195516993
level_level,13,13.798747979660211,60.073286396497714
level_level,14,4.1673829730152665,18.17223457205977
level_level,15,1.6972917285582003,14.952474020961326
level_level,16,9.352410503980348,39.23396153498488
level_level,17,13.273515846238231,54.708830285697644
level_level,18,12.373286147637412,53.12806056345764
level_level,19,6.565321113401319,23.127886894720433
level_level,20,11.094747476732277,47.514287888013136
level_level,21,2.098592073453904,14.44543264391266
level_level,22,6.429650645314473,24.908322527424424
level_level,23,1.1824121111747896,14.74658120114644
level_level,24,6.51006571785903,28.15976271137099
level_level,25,15.49780613544814,70.39224455324286
level_level,26,10.409458831859162,40.548848541316794
level_level,27,15.818870752214004,65.58740733399846
level_level,28,2.994334094973717,18.285376164871725
level_level,29,3.4242156426669497,20.72488502471299
level_level,30,19.53924596702692,73.06538036043908
level_level,31,16.7914971717895,67.77301339927162
level_level,32,4.933689068833141,24.44412630697217
level_level,33,17.122408670547653,71.10371554462658
level_level,34,12.614874646722797,53.632993814664715
level_level,35,6.4628903731635985,30.354562847114618
level_level,36,5.297676917752976,28.845983358554417
level_level,37,19.085114209195073,69.15288963242243
level_level,38,3.301444091345277,17.502205943323105
level_level,39,10.1246160515185,55.651355095342744
level_level,40,14.288061778082383,56.90656204788629
level_level,41,19.13971097108467,73.59860271652487
level_level,42,16.84969656759818,65.41594384680303
level_level,43,12.902924908962383,52.07632422550531
level_level,44,8.477283142077894,38.37782002404139
level_level,45,12.14687790742779,51.255652103566966
level_level,46,10.155383115604021,44.681601087389204
level_level,47,3.619489488854323,33.032181600761646
level_level,48,12.873260753123759,56.20247147733138
level_level,49,5.613474415113049,27.378578771181537
level_level,50,19.611804720161036,63.56004907305987
level_level,51,10.420877175154889,44.28205139053407
