instrument,coaching_hours,performance,oracle_motivation,design
0,4.3732218016060465,17.759488271294398,1.5956676192509254,Strong instrument
1,4.291334816765415,17.53093091971361,0.21582875355696546,Strong instrument
1,1.9933680790421606,7.21058182241576,-0.6303698421685358,Strong instrument
0,2.739358180499721,16.726751403656895,0.5073159257354594,Strong instrument
0,5.021081744757176,14.536057865672142,-0.657582226150613,Strong instrument
0,5.559163810055392,23.01245287600126,1.378664884495531,Strong instrument
1,4.590423413238943,9.575033962026783,-1.3319628533382857,Strong instrument
0,4.713150843343306,19.7920449459555,1.6562023893675748,Strong instrument
1,4.216917801732932,12.505261543349437,-1.1534714245743671,Strong instrument
1,7.874179607125961,24.922394038760483,1.8738217259287389,Strong instrument
0,4.042745966777851,17.654388671514607,0.23288129124414,Strong instrument
0,0.1736523225238602,2.3565157770120697,-2.22401907751263,Strong instrument
1,5.518550651703554,14.867627090450585,-0.6359543599366967,Strong instrument
1,3.1990148837463472,13.955120600698454,-0.4649054828941422,Strong instrument
0,4.9116999242592785,19.083564284341872,0.9454009168389205,Strong instrument
0,1.5399261125545898,12.415863736305063,-0.4664283183610363,Strong instrument
1,7.84788473465087,26.12636480834915,1.3928112806428508,Strong instrument
1,2.677341916648687,10.153567263827155,-1.0655243747508307,Strong instrument
0,4.378469478698545,24.34959297693521,1.9045218369711134,Strong instrument
0,2.6841919166313657,17.199870346706668,0.5742374234464395,Strong instrument
0,4.37897246755959,20.16730961685865,0.7536184324696942,Strong instrument
1,4.466462197765733,19.064570133063146,0.44518013224754094,Strong instrument
1,4.773080460154755,14.895164624324423,-0.21666857329701408,Strong instrument
1,6.3232460684376655,24.334572699277718,0.5101508904407429,Strong instrument
1,4.5355830580559875,14.010441038464245,-0.8441127473048551,Strong instrument
0,3.237817747915072,18.458105582724386,0.3103327259737437,Strong instrument
0,1.7569016499935146,11.244255149055927,-0.15898001598537934,Strong instrument
1,5.779357373541592,17.07771093948437,0.3125350604367176,Strong instrument
1,3.8467440365382424,13.977854288731294,-0.4941869662749481,Strong instrument
1,4.361753823211276,18.04432878876089,0.48322800280492156,Strong instrument
1,6.1134598933559285,19.213336996175194,0.5288658974046195,Strong instrument
1,7.8307536308117305,23.379375285746704,0.84583373116462,Strong instrument
1,4.386304827366726,17.186310423135726,-0.11961463282544918,Strong instrument
