building_id,insulation_index,thermal_score,annual_energy_cost_eur
1,32.32842568832411,31.887887547356748,2665.9063615600003
2,50.20385290982802,50.88176156068745,1379.6541337645426
3,54.302083176020545,52.936536354403536,1271.8711667927357
4,56.392629035703735,55.89889315597464,1105.182989178488
5,56.79517764239581,53.88401628866734,1331.9642312766005
6,38.82917144223741,38.30809892297657,2148.6574260201724
7,66.20617351227077,64.07979195029303,935.1598518096741
8,43.27578255204275,42.399528904593865,2070.2314250553713
9,51.27820674203398,53.268790894948296,1393.3252930859794
10,49.96523090654836,48.7626696491947,1357.2813636982512
11,41.6631626194916,43.75755258022165,1956.4095136049887
12,44.89898759674151,44.76250962497209,1758.1875916528616
13,56.59345213870202,58.16643532768324,1051.536257348483
14,54.7435786705463,56.14184520105911,1175.8667223217924
15,44.95346609285948,43.193067442158835,1862.3527434679727
16,60.03024109702636,60.72782386074356,1185.7756285564
17,50.37599798761678,52.45005516652309,1675.5374060034972
18,64.12329286409152,64.58602735637413,781.302258265456
19,43.42701066026399,45.238227467430804,2032.4855407930056
20,43.75254736559331,44.36212361937352,1480.4745426067652
21,50.71419334190704,54.1670664562523,1020.8820856185926
22,46.3087986474072,45.37724527206795,1766.4641972453567
23,50.72495391287428,50.82012665324678,1373.7416074006446
24,57.14505251870902,56.559816660224705,895.3066342791565
25,46.56854687783159,50.31733144126792,1530.4633348616417
26,66.15630541354648,66.65115005432126,764.238006800177
27,43.69405037737046,42.43798428315187,1788.0653746946673
28,44.14303848645803,41.67492713808383,1699.3694548984445
29,48.951485617974406,50.74512309231688,1619.3081373454677
30,53.990536020827136,55.03755970726174,1547.9059209098968
31,67.65080397699118,69.25334902191011,119.31305990448948
32,40.75199651252052,42.046367251460055,1635.323319163623
33,56.11714116459973,55.02422769529067,1374.2514695475031
34,61.93986816423473,61.746105452386864,843.8155005157298
35,49.46669366656159,49.82831034070942,1471.8887395000604
36,64.49411399550515,63.57583307599747,907.3061820201763
37,58.44253789912697,58.551829251262234,1178.5283915480386
38,58.53890215819436,59.786323842058806,959.463913155175
39,42.95542487708416,42.08841333796829,2009.6024638924673
40,34.262933520748874,32.891814299087976,2314.88262131454
41,63.85295940512939,65.92517831421817,684.0199089659932
42,41.12887576783719,39.439371326209915,2100.2615390525525
43,50.36962323300977,48.78906206758562,983.6147547397073
44,49.12098415797029,48.83646788138459,1852.9107136880516
45,35.902086075569706,36.163644648314566,2327.3281609616574
