day,orders,structural_error
1,102.95400341043486,-17.165996589565136
2,106.91068914924305,-13.329310850756944
3,112.64424543035776,-7.715754569642246
4,118.33818965867849,-2.1418103413215213
5,121.89086324366463,1.2908632436646312
6,114.8440012067775,-5.875998793222499
7,125.80862015154219,4.968620151542189
8,120.8864090643665,-0.07359093563348473
9,121.6976586455927,0.6176586455926927
10,121.79974303239553,0.5997430323955177
11,116.36179450968314,-4.958205490316864
12,114.22410858057367,-7.215891419426329
13,119.4987912659217,-2.0612087340783036
14,124.54692901623137,2.866929016231362
15,120.5163362246391,-1.2836637753608877
16,127.47291946165495,5.552919461654945
17,127.08932281557816,5.049322815578145
18,134.43449118923738,12.274491189237374
19,129.0785045250641,6.798504525064077
20,124.43076359785083,2.0307635978508243
21,126.33521284138212,3.815212841382114
22,122.97966415659214,0.3396641565921321
23,122.73365981632085,-0.026340183679152307
24,126.84097701860932,3.960977018609329
25,125.13262280259268,2.132622802592673
26,134.5267437484435,11.406743748443487
27,128.52780115352803,5.287801153528038
28,122.1912501529933,-1.1687498470066888
29,122.41348105898983,-1.0665189410101692
30,125.75142278439534,2.1514227843953524
31,135.83686111894076,12.116861118940765
32,127.69505338364037,3.855053383640361
33,130.51020106330762,6.550201063307622
34,136.5678086714072,12.487808671407208
35,133.26490241764972,9.064902417649721
36,139.98283994441502,15.662839944415015
37,142.29545758561815,17.85545758561816
38,144.27327341388803,19.71327341388804
39,135.69275047179627,11.012750471796272
40,122.58104805318092,-2.218951946819077
41,131.83603120458756,6.916031204587552
42,125.53982191758472,0.4998219175847156
43,125.42664711255121,0.26664711255121576
44,124.69425294165293,-0.5857470583470707
45,116.19154268092038,-9.208457319079624
46,111.28786011463829,-14.232139885361704
47,115.81966273173788,-9.820337268262122
48,122.97109936854078,-2.7889006314592297
49,108.68482996755588,-17.19517003244411
50,119.91803229039363,-6.0819677096063725
51,129.75550197830722,3.6355019783072313
52,132.47810467018545,6.238104670185461
53,131.42567903859384,5.065679038593855
54,131.4726934429262,4.992693442926186
55,113.90458574667966,-12.69541425332034
56,114.49263375062655,-12.227366249373443
57,114.4120820581027,-12.427917941897308
58,110.98778135012533,-15.972218649874664
59,110.90999640266216,-16.170003597337843
60,105.80329410741237,-21.39670589258764
61,113.85571284016122,-13.464287159838774
62,119.93653072432319,-7.503469275676801
63,119.87989993041214,-7.680100069587866
64,122.78281022401836,-4.897189775981644
65,118.69532784768228,-9.104672152317722
66,125.41750980092571,-2.5024901990742823
67,119.86451930830133,-8.17548069169867
68,118.1811769858579,-9.978823014142097
69,126.86196946746627,-1.418030532533738
70,125.04599621976479,-3.354003780235215
71,130.00703844022968,1.4870384402296657
72,118.59681376087866,-10.04318623912133
73,117.14789425708898,-11.61210574291102
74,129.24975720132232,0.3697572013223205
75,137.2536527285443,8.253652728544282
76,141.34906683132402,12.229066831324033
77,134.03785144700225,4.797851447002248
78,134.49285386345508,5.132853863455079
79,131.9137356452412,2.4337356452411987
80,127.1609826347224,-2.4390173652775995
81,122.126131566545,-7.593868433454995
82,128.1355248901268,-1.7044751098732194
83,122.96082305077789,-6.999176949222112
84,124.40002992543512,-5.679970074564888
85,131.53345805844688,1.3334580584469071
86,139.63683354154898,9.316833541548975
87,135.89441229933163,5.454412299331651
88,129.81334276647624,-0.7466572335237736
89,124.7135451894201,-5.966454810579907
90,124.86494917291357,-5.935050827086438
91,114.58936134828357,-16.33063865171641
92,111.82104938260508,-19.218950617394913
93,111.62407841335013,-19.535921586649867
94,111.55800556583455,-19.72199443416545
95,118.05176478298156,-13.348235217018448
96,119.86281312110113,-11.657186878898878
97,120.93478254143969,-10.705217458560293
98,111.2783937950596,-20.481606204940384
99,116.59424786385355,-15.285752136146439
