school_id,post,treated,math_score
1,0,0,69.40137761837306
1,1,0,72.86517676151283
2,0,0,66.34151538651653
2,1,0,68.88037457404742
3,0,0,70.15188856990453
3,1,0,72.92406258935578
4,0,0,65.76949713584112
4,1,0,67.81792530060841
5,0,0,69.60140174418008
5,1,0,71.61859991871728
6,0,0,63.88266691993636
6,1,0,64.66301760282103
7,0,0,66.49501344958529
7,1,0,69.99156020554541
8,0,0,69.09785503743286
8,1,0,68.9077104778264
9,0,0,65.33889689201857
9,1,0,68.16066855564246
10,0,0,67.77453099066632
10,1,0,71.26770144276065
11,0,0,66.32587694888667
11,1,0,69.43019027533423
12,0,0,71.45995521669167
12,1,0,70.40393283604655
13,0,0,65.58453686804114
13,1,0,68.98892147964158
14,0,0,66.76405703319313
14,1,0,70.51157727415044
15,0,0,65.06568825403284
15,1,0,68.75929298515746
16,0,0,61.11279624595351
16,1,0,65.20562493919915
17,0,0,66.21240817617019
17,1,0,71.0687575401179
18,0,0,71.97061874548073
18,1,0,76.45189772214806
19,0,0,65.98186708842796
19,1,0,65.99771843616863
20,0,0,68.88121863927446
20,1,0,67.05556334624113
21,0,0,64.51982955214089
21,1,0,67.62818399420686
22,0,0,64.79175544617466
22,1,0,66.89436685135762
23,0,0,64.30838310822641
23,1,0,68.06384068246673
24,0,0,66.75894607262248
24,1,0,68.51365701272736
25,0,0,63.13966518915056
25,1,0,64.72541513845793
26,0,0,68.06618537326139
26,1,0,71.01531322319845
27,0,0,63.467508558948275
27,1,0,64.87408818218327
28,0,0,68.08015441365747
28,1,0,73.32923849501627
29,0,0,69.69205671013758
29,1,0,69.37839149480811
30,0,0,67.24729572383421
30,1,0,69.32410660237555
31,0,0,66.04089575483825
31,1,0,66.64465491814573
32,0,0,59.54154900734978
32,1,0,60.85522002793353
33,0,0,68.31488436153678
33,1,0,69.8791096325652
34,0,0,68.23740210606998
34,1,0,69.85171803606801
35,0,0,67.18217999094655
35,1,0,68.88165929108098
36,0,0,69.08250508304315
36,1,0,70.31694023937047
37,0,0,63.749261282491105
37,1,0,67.07506710810385
38,0,0,68.67049995155861
38,1,0,71.38363804912838
39,0,0,65.35492376992912
39,1,0,67.20961312066477
40,0,0,63.97875863878095
40,1,0,68.3175993728353
41,0,0,65.01812140261175
41,1,0,70.50368694203273
42,0,0,69.50736935649765
42,1,0,71.37990563037505
43,0,0,66.96495595494407
43,1,0,70.98490402147164
44,0,0,69.03985708965993
44,1,0,71.98245757109126
45,0,0,70.33108234428904
45,1,0,72.10716649018559
46,0,0,68.1486211918919
46,1,0,70.64319218564324
47,0,0,69.61099462321894
47,1,0,71.25172924706656
48,0,0,67.89428388330572
48,1,0,71.53489383928954
49,0,0,66.58436513493088
49,1,0,67.74480715287369
50,0,0,65.41870868309954
50,1,0,65.12863999824157
51,0,1,57.625373963270825
51,1,1,65.54372670962933
52,0,1,55.255528247757276
52,1,1,65.78218497402725
53,0,1,58.52748848150554
53,1,1,63.13331225376156
54,0,1,56.328109242647685
54,1,1,65.79323624054781
55,0,1,60.774135150103724
55,1,1,67.50740056220717
56,0,1,54.860004400299815
56,1,1,64.8345885549165
57,0,1,53.25000050051016
57,1,1,62.62466795115795
58,0,1,55.342233678637356
58,1,1,63.977740596305416
59,0,1,59.90147346987657
59,1,1,65.72331711591103
60,0,1,57.61495390114019
60,1,1,64.29297867049375
61,0,1,59.53283363675682
61,1,1,69.93865828248008
62,0,1,60.4835075856976
62,1,1,64.40418593248405
63,0,1,59.533530778836955
63,1,1,65.60136931576766
64,0,1,61.370725073735755
64,1,1,70.10568067593954
65,0,1,54.524807578626366
65,1,1,63.16841224416255
66,0,1,60.795217916928955
66,1,1,65.3441826587819
67,0,1,55.273014893883385
67,1,1,63.8623520052655
68,0,1,61.496195830013455
68,1,1,66.201344785192
69,0,1,54.239138608575544
69,1,1,64.29080468469594
70,0,1,57.33416487057489
70,1,1,64.85494863428508
71,0,1,58.295962833134716
71,1,1,65.3612504443189
72,0,1,59.65679672244748
72,1,1,63.286820945189874
73,0,1,55.459435231203955
73,1,1,63.80681933813473
74,0,1,60.46850361388019
74,1,1,64.39244836667328
75,0,1,56.40389872861501
75,1,1,64.72890871103947
76,0,1,54.96035618269783
76,1,1,63.066340062606244
77,0,1,58.808595670730746
77,1,1,65.50935315028683
78,0,1,56.75233944441157
78,1,1,66.5604266203623
79,0,1,55.92153898326218
79,1,1,59.98391234665405
80,0,1,59.52966982840204
80,1,1,66.1492941145725
81,0,1,57.11418750176131
81,1,1,62.6241447484053
82,0,1,53.89521945383552
82,1,1,61.960799576479836
83,0,1,51.94307806800325
83,1,1,62.49139351573309
84,0,1,62.07052604871513
84,1,1,69.60245478174662
85,0,1,53.25800171048882
85,1,1,62.13528175435853
86,0,1,57.57801237433871
86,1,1,66.56093276174857
87,0,1,56.35592668371584
87,1,1,65.83962634951882
88,0,1,59.387874749507745
88,1,1,65.9548161626063
89,0,1,51.91082885129741
89,1,1,62.479963075085145
90,0,1,51.48852826676827
90,1,1,60.73912165738461
91,0,1,53.717654049512326
91,1,1,64.33038248771817
92,0,1,54.458597429487995
92,1,1,63.82711440761124
93,0,1,56.92382605788164
93,1,1,62.830329847317955
94,0,1,55.29496175937834
94,1,1,62.59468542517167
95,0,1,56.36231031435863
95,1,1,62.29003327187571
96,0,1,51.99819331323553
96,1,1,60.607349739516636
97,0,1,59.48154508489109
97,1,1,67.75133172590336
98,0,1,59.88635553364769
98,1,1,68.08040684376677
99,0,1,61.43006807385605
99,1,1,68.96059490471173
100,0,1,57.84610602128493
100,1,1,63.71856855060872
