dose_eur_per_resident,linear_effect,quadratic_effect,oracle_effect
0.0,0.0,0.0,0.0
1.0,0.08026557872778974,0.14202573076641237,0.19716987476913228
2.0,0.16053115745557947,0.282475601225121,0.3887860410359112
3.0,0.2407967361833692,0.4213496113761259,0.575004930801752
4.0,0.32106231491115894,0.5586477612194272,0.7559785698283393
5.0,0.40132789363894866,0.6943700507550247,0.9318547017487289
6.0,0.4815934723667384,0.8285164799829184,1.1027769086826005
7.0,0.561859051094528,0.9610870489031086,1.2688847284541271
8.0,0.6421246298223179,1.0920817575155952,1.4303137685081502
9.0,0.7223902085501076,1.221500605820378,1.5871958166176656
10.0,0.8026557872778973,1.3493435938174567,1.739658948472998
11.0,0.8829213660056872,1.4756107215068324,1.8878276322404992
12.0,0.9631869447334768,1.6003019888885037,2.0318228301761216
13.0,1.0434525234612666,1.7234173959624717,2.171762097376841
14.0,1.123718102189056,1.8449569427287358,2.307759677750525
15.0,1.203983680916846,1.9649206291872963,2.4399265972826107
16.0,1.2842492596446358,2.083308455338153,2.5683707546757306
17.0,1.3645148383724255,2.2001204211813064,2.693197009436275
18.0,1.4447804171002152,2.315356526716756,2.814507267479814
19.0,1.525045995828005,2.4290167719445015,2.9324005643252598
20.0,1.6053115745557947,2.5411011568645434,3.0469731459456852
21.0,1.6855771532835844,2.6516096814768817,3.1583185473418154
22.0,1.7658427320113743,2.7605423457815164,3.2665276689023166
23.0,1.8461083107391638,2.867899149778447,3.371688850613253
24.0,1.9263738894669535,2.9736800934676744,3.473887944177257
25.0,2.0066394681947433,3.077885176849198,3.5732083831013286
26.0,2.086905046922533,3.180514399923018,3.669731250810446
27.0,2.1671706256503227,3.2815677626891335,3.7635353468426254
28.0,2.247436204378112,3.3810452651475456,3.854697251179449
29.0,2.327701783105902,3.478946907298255,3.9432913867645856
30.0,2.407967361833692,3.575272689141259,4.02939008026135
31.0,2.4882329405614816,3.6700226106765608,4.1130636210988945
32.0,2.5684985192892715,3.7631966719041587,4.194380318855236
33.0,2.648764098017061,3.854794872824052,4.273406559023968
34.0,2.729029676744851,3.944817213436243,4.3502068572101935
35.0,2.8092952554726405,4.033263693740729,4.424843911799904
36.0,2.8895608342004304,4.120134313737512,4.497378655145815
37.0,2.9698264129282204,4.205429073426592,4.567870303311452
38.0,3.05009199165601,4.2891479728079664,4.636376404414076
39.0,3.1303575703837994,4.371291011881637,4.70295288560594
40.0,3.2106231491115893,4.451858190647606,4.767654098732207
41.0,3.290888727839379,4.530849509105869,4.830532864702829
42.0,3.3711543065671687,4.60826496725643,4.891640516614585
43.0,3.4514198852949582,4.684104565099287,4.951026941658501
44.0,3.5316854640227486,4.758368302634441,5.0087406218468615
45.0,3.611951042750538,4.83105617986189,5.06482867359305
46.0,3.6922166214783276,4.902168196781636,5.119336886176545
47.0,3.7724822002061176,4.971704353393678,5.172309759124474
48.0,3.852747778933907,5.0396646496980155,5.223790538540216
49.0,3.933013357661697,5.106049085694651,5.273821252408755
50.0,4.0132789363894865,5.1708576613835815,5.32244274490757
51.0,4.0935445151172765,5.234090376764808,5.369694709751087
52.0,4.173810093845066,5.295747231838332,5.415615722595921
53.0,4.2540756725728555,5.355828226604151,5.460243272533341
54.0,4.334341251300645,5.414333361062267,5.503613792694702
55.0,4.414606830028435,5.47126263521268,5.545762689994794
56.0,4.494872408756224,5.526616049055388,5.586724374037413
57.0,4.575137987484015,5.5803936025903935,5.626532285206742
58.0,4.655403566211804,5.632595295817695,5.66521892196749
59.0,4.735669144939594,5.6832211287372925,5.702815867396044
60.0,4.815934723667384,5.732271101349186,5.739353814964333
61.0,4.896200302395173,5.779745213653377,5.774862593597429
62.0,4.976465881122963,5.825643465649863,5.809371192025338
63.0,5.056731459850753,5.869965857338647,5.842907782448894
64.0,5.136997038578543,5.912712388719726,5.875499743539021
65.0,5.217262617306333,5.9538830597931,5.907173682788202
66.0,5.297528196034122,5.993477870558772,5.937955458232354
67.0,5.377793774761912,6.03149682101674,5.967870199560863
68.0,5.458059353489702,6.067939911167006,5.996942328632017
69.0,5.538324932217492,6.102807141009565,6.025195579410566
70.0,5.618590510945281,6.1360985105444215,6.052653017343711
71.0,5.698856089673071,6.1678140197715745,6.079337058191319
72.0,5.779121668400861,6.197953668691024,6.1052694863257475
73.0,5.859387247128651,6.226517457302769,6.1304714725162155
74.0,5.939652825856441,6.253505385606813,6.154963591212239
75.0,6.01991840458423,6.2789174536031505,6.1787658373402445
76.0,6.10018398331202,6.302753661291786,6.201897642627067
77.0,6.18044956203981,6.325014008672716,6.2243778914636625
78.0,6.260715140767599,6.345698495745943,6.246224936321989
79.0,6.3409807194953896,6.3648071225114675,6.26745661273763
80.0,6.421246298223179,6.382339888969287,6.288090253870412
81.0,6.501511876950968,6.398296795119402,6.308142704654883
82.0,6.581777455678758,6.412677840961814,6.327630335552213
83.0,6.662043034406548,6.425483026496524,6.346569055914745
84.0,6.7423086131343375,6.4367123517235285,6.364974326974113
85.0,6.822574191862127,6.446365816642831,6.382861174463498
86.0,6.9028397705899165,6.454443421254427,6.400244200884384
87.0,6.983105349317706,6.460945165558322,6.417137597427768
88.0,7.063370928045497,6.465871049554512,6.4335551555595965
89.0,7.143636506773286,6.4692210732429976,6.449510278279873
90.0,7.223902085501076,6.470995236623781,6.465015991064623
91.0,7.304167664228865,6.47119353969686,6.480084952499663
92.0,7.384433242956655,6.4698159824622365,6.494729464614839
93.0,7.464698821684446,6.466862564919908,6.508961482927185
94.0,7.544964400412235,6.462333287069875,6.522792626201195
95.0,7.625229979140024,6.45622814891214,6.536234185934169
96.0,7.705495557867814,6.4485471504467,6.549297135574392
97.0,7.785761136595603,6.439290291673558,6.561992139479662
98.0,7.866026715323394,6.428457572592711,6.5743295616234745
99.0,7.946292294051184,6.41604899320416,6.586319474055991
100.0,8.026557872778973,6.402064553507906,6.597971665126678
