store_id,location,marketing_thousand_eur,weekly_revenue_thousand_eur
1,University,19.140615166616453,944.9238546579694
2,University,33.186951149779354,1146.2569675308096
3,Industrial,23.886928592940418,784.0994090572443
4,Center,18.95709083510704,1001.4480428689164
5,Center,30.33814031012273,1264.5855186625718
6,Industrial,21.260098665632096,627.7718545371057
7,University,7.459565803745453,598.1738532421476
8,Suburb,35.877554818914085,1200.798835516568
9,Suburb,9.765373158822326,652.7240595940589
10,Industrial,17.84075964906356,714.6686559686049
11,Suburb,10.14032812685146,721.7856554541133
12,Suburb,36.466000499795456,1193.6075343071147
13,University,10.696525383374036,732.8714996388742
14,Center,23.42595572963927,1090.5186340702671
15,Center,14.381836102670613,876.6235238998373
16,Suburb,16.59733968354779,773.0025210057458
17,University,22.68060825396395,1019.459326476694
18,Suburb,25.16629782531069,759.5228402672456
19,Suburb,16.224139773411423,900.6994412032981
20,Suburb,6.211295014626442,658.2330247244312
21,Center,20.34878918709104,849.9182401415335
22,Suburb,21.974708125040145,1054.2024716788426
23,Center,35.77557390705841,1249.764291671589
24,Suburb,18.457380408155956,805.5113827741757
25,University,38.19782807249191,1290.8738102193945
26,Suburb,13.837962697629717,976.1315125938854
27,University,24.430240019280006,1205.6845621425712
28,Center,14.887845589093644,964.7888799143453
29,Center,9.360881521018406,783.213507724487
30,Industrial,30.328316548677844,970.8962063963528
31,University,31.02343523797438,1123.9627083992857
32,Center,38.1366392700493,1245.3063101769658
33,University,30.021534050370597,1089.9074099170907
34,University,6.1930310508068365,649.9676168057189
35,Suburb,5.771989179106884,690.9573085197993
36,Center,14.974414117973852,1061.3240540909694
37,Industrial,11.955586824307014,546.446895505275
38,Center,21.430581004054662,1010.2187164328278
39,Suburb,11.231681344545379,726.2006580233303
40,University,10.791332074322202,788.5412700518992
41,Industrial,26.25778542701599,867.0817029956919
42,University,12.516407675274857,811.1048293623458
43,University,39.572397173861724,1549.7959750065963
44,Suburb,7.28041962977865,732.0518880974766
45,Suburb,24.59257258107271,871.3571105763333
46,Suburb,10.812750022306922,598.5553762497428
47,Center,6.3160489264939095,691.7403715061882
48,University,10.3851843787813,674.8851729538496
49,Center,36.727964705550576,1137.1679528559162
50,Industrial,22.70767283692775,781.209056798759
51,Suburb,16.782453842474208,943.7244989121274
52,Center,32.610518947287915,1278.9185504304962
53,Suburb,31.914090195065782,1002.9524952869374
54,Suburb,38.089128562081996,1165.5494759505236
55,Suburb,18.71305723377998,728.0356330973544
56,Suburb,12.148223364177955,646.7066888309478
57,Industrial,30.61171417688489,1138.429555606749
58,University,5.551124650963051,835.233176369065
59,University,27.69790543890228,1198.3641055356852
60,Suburb,32.759387399935285,1068.9544241966648
61,Center,38.9680762661048,1384.3970237552828
62,Center,18.359701352332884,1098.5330652058628
63,Suburb,22.421356748495306,822.6965482367353
64,Center,6.784925835565732,816.8595767800006
65,Industrial,8.525895720932397,520.1291694862317
66,University,29.02765929016689,1087.2291288517538
67,University,27.163644081506376,923.4343290283934
68,Suburb,22.43211178741308,1028.202571528961
69,Suburb,6.912512573968429,518.9204274652002
70,Industrial,35.54259940825236,1031.3514650735624
71,Suburb,28.78193999285232,991.895408561155
72,Suburb,16.76987729193043,898.2002768164107
73,Industrial,36.905626541253994,1152.437011779004
74,Center,23.46895706546202,1164.2596028772048
75,Industrial,38.75473210288047,1221.356240006236
76,University,9.082943386851388,793.5385700344005
77,Suburb,23.22083302508883,861.0319265137379
78,Suburb,16.74205621063034,831.2651015143318
79,University,10.469398798078641,822.6492967261821
80,Suburb,7.134063750416633,664.9429786824741
