learner_id,study_hours_per_week,completed,oracle_completion_probability
1,13.701533373388449,1,0.8008570168883433
2,13.766196140396463,1,0.8052544281428903
3,20.798889642678184,1,0.9883821022354713
4,1.280311788157779,0,0.018900862963897116
5,0.8463376104999061,0,0.015733959461691878
6,18.773254693792822,1,0.9726816848415876
7,18.681080485234045,1,0.9716085404870783
8,12.06305713243222,1,0.6653247407130655
9,5.87995796514137,0,0.1222151957993406
10,19.296257325888025,1,0.9780628127748433
11,12.985310094742214,1,0.7471903883087964
12,10.331301493503783,1,0.4856188781954111
13,14.819602923817087,1,0.8667391126238715
14,3.6674960740176767,0,0.05102936090916629
15,0.8073904225410742,1,0.015476696635426519
16,9.67121216250356,1,0.4154745962430443
17,14.211439400907427,1,0.8335389304022931
18,13.16906817094858,1,0.7618228481296268
19,6.444056026043633,0,0.1507083791979567
20,11.688654973058425,1,0.6285780923512563
21,1.272053979788731,0,0.018835129571071457
22,6.2869639051009685,1,0.142264775175697
23,0.21121402346554574,0,0.012018961596756438
24,6.380076094363088,0,0.14722078528418836
25,16.786933419992582,1,0.9381026128608635
26,10.895162857942188,0,0.546098718293552
27,17.158692449932005,1,0.9467601067497337
28,2.30922895207483,0,0.029112822669529127
29,2.8069865336143627,0,0.035812258040738384
30,21.466495330241695,1,0.9912558952693241
31,18.284891462072054,1,0.9665118957759647
32,4.554797869175216,0,0.07300387142815506
33,18.66805214484465,1,0.9714535930499532
34,13.448802222521133,1,0.7829574535195606
35,6.325452011031535,0,0.14429626439949
36,4.9762574837139715,0,0.08625769802357124
37,20.940658558015347,1,0.9890616659848801
38,2.664830000505058,0,0.033760407137462915
39,10.565344901758262,1,0.5107729094662234
40,15.38617679567434,0,0.8924539724968786
41,21.003875861255935,1,0.9893518790415201
42,18.35228023616631,1,0.9674372164076759
43,13.782334105114337,0,0.8063403466024884
44,8.657906796090193,1,0.3149452219948449
45,12.906911261232176,1,0.740769492099955
46,10.600969923330972,0,0.5146001150211377
47,3.033093092357637,0,0.03932521696860068
48,13.747986135195932,0,0.8040235464215638
49,5.341917743815109,0,0.09948361791159947
50,21.550510728607513,1,0.9915635347467403
51,10.908384097547767,0,0.54750754710476
52,4.698263122885384,0,0.07729025345881559
53,13.098342538491083,1,0.7562607635985015
54,12.766825372907775,1,0.7290355590003461
55,5.6308008148687545,1,0.11117887160960835
56,11.370949694681656,1,0.5961643434731311
57,18.790078005733157,1,0.972873251633283
58,18.322730713827845,1,0.9670345508411488
59,14.677874673793022,1,0.859541388163582
60,12.25946189570058,1,0.683860118970209
61,2.038430971798147,1,0.025995950581364828
62,1.5290046645077011,0,0.020989336857634478
63,6.182232902476044,0,0.13685746558593076
64,1.2624958151643186,0,0.018759325078542353
65,19.91498163576899,1,0.9831007456532205
66,17.383230514875258,1,0.9514221001717534
67,17.6348062480918,1,0.9561846439817483
68,12.422947280392016,1,0.6988583515926045
69,7.828411785432124,0,0.2434636499956283
70,20.195231739690026,1,0.9849905145709577
71,6.598338740841687,0,0.15939796531756684
72,12.234556596134846,1,0.6815402759258811
73,21.239945881083223,1,0.9903698220711524
74,5.071567919854994,0,0.08954315652505142
75,21.11672026384253,1,0.9898511051325144
76,13.290570981532204,1,0.7711728322318766
77,10.09365808900043,1,0.46015292584197787
78,7.889249448632018,0,0.2483143494426371
79,18.128722849523626,1,0.964268971861047
80,8.550056088715788,1,0.3050263251990883
81,5.708603952238278,0,0.11452812179998396
82,2.2523151872048737,0,0.028429003551323963
83,13.37985453023429,1,0.7778770546866884
84,20.83735690867542,1,0.9885705140422092
85,19.049486023058652,1,0.9756667888000402
86,5.592248195196255,0,0.10955123017588904
87,13.478315927391765,1,0.7851063360051338
88,1.3592301182321223,0,0.01954052021897978
89,11.47368341558322,1,0.606752998307085
90,17.817979863393287,1,0.9593684888360409
91,4.7199636959798745,0,0.07795835543619756
92,11.58531784165691,1,0.6181460786015478
93,13.450129556935575,1,0.7830544289475617
94,17.552288840099898,1,0.9546737879504168
95,15.094925738736709,1,0.879829658239332
96,11.728035685884066,0,0.6325228821572632
97,17.076557295075112,1,0.9449515337232605
98,6.0690300807868205,0,0.13120832208736377
99,17.117390393156622,1,0.9458577768106722
100,2.0347339235721176,0,0.025955728660187645
101,17.026039028579593,1,0.9438105681211699
102,13.249840183182787,1,0.768067507110427
103,12.944965744898049,1,0.7438993610794665
104,16.379283953903492,1,0.9271080628595885
105,21.342358975064506,1,0.9907808850028881
106,17.466313477512358,1,0.9530468960191306
107,8.420617951353433,1,0.2933572092857433
108,19.08844466803522,1,0.9760613516770271
109,9.955474966691032,0,0.44543177031292785
110,1.0927708400801757,0,0.017462058157206327
111,21.399030438582425,1,0.9910008306027287
112,11.027602401768975,1,0.5601741914763391
