employee_id,motivation_score,education_years,selection_probability,treatment,outcome_y0,outcome_y1,individual_treatment_effect,observed_performance
1,-1.790354833532509,12.981986519719257,0.05017191015406033,0,73.06209106771759,74.55559430077207,1.4935032330544877,73.06209106771759
2,0.010027748183977375,13.96326760420505,0.36973764139902615,0,75.39718842666596,79.41122727412353,4.014038847457568,75.39718842666596
3,0.4468513156580284,11.766349087558682,0.41609614127333233,0,69.97174098916024,74.59733283108147,4.625591841921239,69.97174098916024
4,0.6460797038332384,14.350123933876755,0.5802060879472926,0,77.04109984808886,81.9456114334554,4.904511585366533,77.04109984808886
5,0.49357921831590296,12.767396516225496,0.46997553280577226,1,70.19504271100703,74.88605361664929,4.691010905642264,74.88605361664929
6,-1.147145353880152,10.915231334103408,0.07816857349790983,0,63.652018418823694,66.04601492339148,2.393996504567787,63.652018418823694
7,1.5919832017092899,13.469810098451353,0.7965952088994626,1,85.72658281175076,91.95535929414376,6.228776482393005,91.95535929414376
8,-0.6581857756393987,11.347327933803058,0.14342129954335897,0,65.54481527409985,68.62335518820468,3.0785399141048417,65.54481527409985
9,0.11250992923113513,13.777081473850886,0.39292596256138207,0,72.4083220650691,76.56583596599269,4.157513900923589,72.4083220650691
10,0.019661548138869573,12.400665152310163,0.3161943593375132,0,71.15514721717764,75.18267338457206,4.027526167394417,71.15514721717764
11,-0.9043341759308947,13.091962544819243,0.13995019238852782,0,68.25915358506812,70.99308573876486,2.7339321536967476,68.25915358506812
12,-0.5580818561631959,10.846110366003304,0.14903058156017165,0,70.72734782800386,73.94603322937539,3.2186854013715256,70.72734782800386
13,0.5945310955123723,12.061860985552642,0.47329085532415416,0,81.39743098337206,86.22977451708938,4.832343533717321,81.39743098337206
14,0.7457786381354065,12.39232726421722,0.5336977553473636,1,81.12465772127396,86.16874781466353,5.044090093389569,86.16874781466353
15,-0.586644734670225,10.654496660045654,0.14080905250288592,0,66.03245508551598,69.21115245697766,3.178697371461685,66.03245508551598
16,1.0923628677394062,14.925580684587812,0.7258258246516688,0,86.87525525583814,92.40456327067331,5.529308014835168,86.87525525583814
17,0.11967427258121463,12.620612106307524,0.35180621086612385,1,80.02093342974386,84.18847741135757,4.167543981613701,84.18847741135757
18,1.3893365655144034,13.387275252279732,0.7500042109619165,1,80.27973989366984,86.22481108539,5.945071191720165,86.22481108539
