commuter_id,mode,commute_minutes,satisfaction_score
1,Bike,57.91998757451444,64.18136948408743
2,Bike,39.02516283085432,76.77275870049182
3,Car,29.33615035584365,65.52901160705832
4,Bus,47.0253419105102,59.25170336181404
5,Bus,33.61763169769749,56.56368202287555
6,Car,32.91841092168495,62.649078591407935
7,Car,45.86331239317249,63.73302553274908
8,Bike,56.20117094153957,51.99747413175232
9,Bus,23.979454172916967,65.49788234623823
10,Car,45.421843763251864,53.0572081142888
11,Bike,17.474094478499804,82.1595536600762
12,Bike,36.808654481898756,77.13549106704973
13,Car,25.625619063909603,67.3049712771545
14,Bus,37.180373693153236,52.761060975185785
15,Bus,31.084553801633977,51.07901126407113
16,Bike,41.36992430477735,63.90766122428382
17,Bike,39.59622954861835,74.81401897621906
18,Bike,13.457386104887721,81.66895694881015
19,Bus,33.31157303715519,59.571044234322926
20,Bike,18.745278316941185,81.53190662206705
21,Bus,22.24048366153272,53.03613248166742
22,Bus,52.50344094141478,54.1620031320663
23,Bus,41.77035305411312,52.216130154600556
24,Bus,29.66434402285428,68.69084971414765
25,Car,54.98076782002195,50.19807793867281
26,Bike,29.981939907876246,75.63136094440243
27,Car,35.3196002052481,53.57222469914525
28,Bus,35.09739890437695,58.896459777023985
29,Bus,44.482560162673046,51.34885244087574
30,Car,20.602935545367583,64.80602476175396
31,Car,37.81567592947979,61.952966718707096
32,Bus,15.986818047807423,59.74385872102819
33,Car,12.511643796211876,73.8535662610215
34,Bike,31.726377464145585,65.46369057932786
35,Bus,29.531068817188686,58.06369584164809
36,Bus,20.530893125160603,67.23315076571978
37,Car,58.245014321429814,56.98818236389582
38,Bus,56.64709523950676,31.526637234290018
39,Bike,32.58986971028125,71.60848291833896
40,Car,16.12695376275768,69.69163952276143
41,Car,15.206078676885612,77.99883222648538
42,Car,12.907418794723487,76.16603509502613
43,Bike,25.598180103680477,69.01283621810745
44,Bus,30.619223382194452,69.54205911762239
45,Bike,49.572879800442436,63.670991292323784
46,Bike,49.36424542449364,66.66916504277395
47,Bus,13.841292464053414,66.24835935062558
48,Bike,29.507964121349442,62.69243756766925
49,Bus,43.88736301110389,54.33993250661901
50,Car,53.86861874488371,60.34791464169552
51,Bike,18.729052031326468,83.00087982267307
52,Bus,59.01263219766106,53.35767488259702
53,Bike,25.865776747346782,75.1581492851917
54,Bike,43.58689376787826,60.36073653883009
55,Bus,28.62531867317392,60.942692192164685
56,Bike,14.394496679291827,76.80300285200882
57,Car,19.785191966029245,73.34495697523698
58,Car,20.563348110617767,73.312266963246
59,Car,21.856826420954196,76.76071786639282
60,Bike,43.04739241943595,64.43107481417314
61,Bus,14.466984009307634,66.75408938201336
62,Bus,34.5184114404043,59.662432894409584
63,Bus,59.907100699604996,52.887390099546
64,Bus,16.185420367987344,65.68051981438457
65,Car,12.62948678136255,77.25718723474361
66,Car,12.23245990257489,76.95271049451439
67,Car,34.66032083266192,76.68215997552645
68,Bike,28.737533130809403,77.85294389121127
69,Bus,53.64794175840243,55.44044584329443
70,Car,23.071154973488504,63.10126445458086
71,Bus,57.54349437177147,48.83539590291483
72,Bike,28.62085079776404,73.75452022169323
73,Car,41.30293045509485,66.31340370926976
74,Bus,30.90784678122885,57.96630356092436
75,Car,52.58358093833324,53.55930758706128
76,Bike,28.168795686276535,78.48551368270702
77,Bike,18.84790179781001,76.88907327475158
78,Bus,19.47081932949222,67.9338572031076
79,Car,41.68543165096843,56.515714418148306
80,Bus,23.462093953175767,69.01825783612578
81,Bus,35.76577952102307,52.92356412404591
82,Bus,52.90526776265299,55.20943205906731
83,Bike,35.92744641342271,68.11795567576442
84,Car,56.05612623479885,55.097497161599364
85,Car,47.98292592199527,63.694781280505
86,Bus,10.435687606316614,65.9454333222544
87,Bike,50.7126351884946,67.08986818453027
88,Bus,43.45760944574045,61.535415414161456
89,Bike,43.2233675957373,71.38583385059924
90,Car,17.69385837969605,73.05428854010118
91,Bus,51.88398804977818,45.27684548278312
92,Bike,53.70904602039239,64.54184753514797
93,Bike,27.006435744492865,82.35204113431476
94,Car,13.841841224273168,65.52128937365244
95,Car,39.33105598068166,65.16373808591537
96,Bike,41.956331951060974,68.0771344335137
97,Car,34.60554141003159,64.63972761657399
98,Bus,19.13281122914274,66.96436010447695
99,Car,59.74348314142768,56.6478808765366
100,Bus,32.657064309613205,49.25563619666784
101,Car,50.35034000969277,62.83165193023321
102,Bike,18.774271927834477,68.54443373112782
103,Bike,26.467363795146756,73.60020298064072
104,Car,28.911810779258193,67.42177497062373
105,Car,23.687084559214835,79.06801701562114
106,Car,34.76128738362965,69.92498691567185
107,Bus,30.706974890728734,68.68250261131834
108,Car,52.29640844420066,57.20228606251111
109,Bike,23.662590662776264,79.61608506293094
110,Bus,48.18300467243551,58.09933279535675
111,Car,30.104096674337548,62.12645730124102
112,Bike,19.199004523736548,80.72555911943539
113,Bus,57.448790022872664,47.09578714531373
114,Bus,29.861335877108523,56.9616916502231
115,Bus,19.99670703931296,58.951654605992246
116,Bike,50.05960345895126,74.61135575409322
117,Bus,30.33599619809162,61.828645446814726
118,Car,52.863766290018006,60.53925578989519
119,Bus,24.546461056052834,62.91435868602081
120,Car,24.816527032418037,69.23072455157306
121,Car,19.309689458741925,67.57347736790378
122,Car,38.57482735012067,72.09904744684725
123,Bike,49.1338876926323,78.68170587914278
124,Bus,12.663132726077661,78.51974385006828
125,Car,31.378434495204303,77.20038214903688
126,Bus,23.230892412072766,63.07833258273348
127,Bike,33.092320439617815,82.13387224928205
128,Car,38.02893624305413,63.946401992636126
129,Bus,19.481204659406252,71.33739579796054
130,Bike,41.17205705392472,71.77097720018095
131,Bus,18.044733097511248,65.16302162900935
132,Bus,43.76191328261473,58.454151059169675
133,Car,42.75024355371227,65.21233336340558
134,Bike,36.55816601271283,76.10807070774084
135,Bus,32.699343466274954,59.43136899582023
136,Bus,49.8524891275645,53.27630512589623
137,Bus,19.89567972155319,61.989942914471875
138,Car,20.989032744626897,79.2579977864445
139,Bike,37.86276227287494,73.34848915049616
140,Bike,43.21693562346776,68.46691227744019
141,Car,50.12661037354473,55.84443044986643
142,Bike,58.593384663343876,60.395018830876154
143,Car,19.169498326196535,76.02792229735297
144,Bus,27.095660015602824,60.60100081430359
145,Car,13.367942744695696,77.4898225254859
146,Bike,59.8829210474569,70.02555148117135
147,Bus,47.91782489598508,61.0929425789922
148,Car,52.211144825556026,59.63288725427767
149,Bike,57.78927796056864,64.29845120578099
150,Car,52.43732801435058,57.422526266164844
151,Bike,33.052511776190855,72.39722493845667
152,Bus,32.635748026394936,63.50583614420829
153,Bus,58.36368992307735,42.161913818346854
154,Car,27.99570777344861,65.5521116343008
155,Bike,19.687622437682574,73.25982400122217
156,Bus,31.124849350635373,59.070319555649014
157,Bus,27.753926393890758,52.25330763632212
158,Bike,54.59440922156147,60.16105780074588
159,Bus,11.85388266079623,78.21398260208214
160,Car,19.64827749267963,64.36392539181173
161,Bike,39.968372689368515,84.81649007569293
162,Bike,18.57235433775535,80.65914628467323
163,Bus,13.878458778799038,77.83180752685395
164,Bus,25.400477081433035,55.7681128075807
165,Car,24.040774749689866,65.16207953942329
166,Car,29.13798257805446,66.94854253708681
167,Bike,18.4977025344427,85.23743524046651
168,Bus,35.35438374175426,62.028642684283824
169,Car,16.119921426516946,72.19555554958653
170,Bus,41.66612884636694,55.24473856607445
171,Bus,50.15609551489149,55.18253902678212
172,Bus,49.36421720305104,52.09617265389636
173,Car,57.88472775611687,63.531755267417964
174,Bus,25.967518103695184,61.752073406060454
175,Car,11.972256502777775,84.01169366797237
176,Car,47.1512933467201,63.144109113009314
177,Bus,14.036388094262927,58.93491869208845
178,Bus,20.989415140505454,66.50894749334842
179,Car,41.33545990382942,68.30892453433714
180,Bus,13.416913624909713,67.22847503898234
