firm_id,period,cash_flow_million_eur,investment_million_eur,oracle_firm_opportunity,cash_flow_within,investment_within
1,1,-1.9153122691612197,-0.5432950397291241,-7.161419334130036,-3.19642711267127,-5.115620529674031
1,2,0.48153540129092676,3.6444070624361977,-7.161419334130036,-0.7995794422191236,-0.9279184275087085
1,3,2.705553565304657,8.107370903286279,-7.161419334130036,1.4244387217946066,3.535045413341373
1,4,1.8612939249097264,2.389585249383849,-7.161419334130036,0.5801790813996761,-2.182740240561057
1,5,2.802047643927595,12.288504443445229,-7.161419334130036,1.5209328004175449,7.7161789535003225
1,6,1.5274000655033118,-0.2603731705366492,-7.161419334130036,0.24628522199326142,-4.832698660481555
1,7,-0.25034250815794135,3.7292854476458435,-7.161419334130036,-1.5314573516679917,-0.8430400422990627
1,8,3.0367429244633466,7.223119023627622,-7.161419334130036,1.7556280809532963,2.650793533682716
2,1,4.96330437066888,21.109196522525988,0.0401109927359095,-2.388656104682476,-0.33747910744113696
2,2,9.484898905459962,25.274581475635724,0.0401109927359095,2.132938430108606,3.8279058456685995
2,3,7.102556700496012,21.185327247913374,0.0401109927359095,-0.24940377485534437,-0.2613483820537503
2,4,7.609554700698548,20.092334339976894,0.0401109927359095,0.2575942253471917,-1.3543412899902307
2,5,4.812628207338706,19.66163987816809,0.0401109927359095,-2.53933226801265,-1.785035751799036
2,6,6.8216903076386135,20.550615830912584,0.0401109927359095,-0.530270167712743,-0.8960597990545409
2,7,8.155831283745657,19.88013575721724,0.0401109927359095,0.8038708083943007,-1.5665398727498854
2,8,9.865219326764477,23.81957398738712,0.0401109927359095,2.51325885141312,2.372898357419995
3,1,8.3025035440649,20.981309241716446,1.7874052626321135,-0.030172188905684294,-4.715489277287009
3,2,3.904372998753863,19.669790451053995,1.7874052626321135,-4.428302734216721,-6.02700806794946
3,3,9.271882009559668,29.98133662565023,1.7874052626321135,0.9392062765890845,4.2845381066467745
3,4,7.787140003379625,24.685076889600232,1.7874052626321135,-0.5455357295909584,-1.0117216294032225
3,5,8.876732972307352,25.575475939334524,1.7874052626321135,0.5440572393367678,-0.12132257966893079
3,6,7.875158316003244,28.31597997672884,1.7874052626321135,-0.45751741696733994,2.619181457725386
3,7,10.766753243194106,29.63947939941713,1.7874052626321135,2.4340775102235224,3.9426808804136755
3,8,9.876862776501907,26.72593962852624,1.7874052626321135,1.5441870435313234,1.0291411095227865
